pairing,metric,clean_mean,harsh_mean,abs_change,rel_change_pct
DQN_vs_DQN,vessel_collision_rate,15.833333333333332,24.583333333333332,8.75,55.26315789473685
DQN_vs_DQN,vessel_collisions_per_ep,0.17916666666666667,0.5583333333333333,0.37916666666666665,211.62790697674416
DQN_vs_DQN,near_misses_per_ep,0.7625,0.625,-0.13749999999999996,-18.032786885245898
DQN_vs_DQN,min_cpa,224.14983416666666,198.77624833333334,-25.373585833333323,-11.319921751299082
DQN_vs_DQN,collision_contact_steps,3.0208333333333335,2.4541666666666666,-0.5666666666666669,-18.758620689655178
DQN_vs_DQN,give_way_events,2.5250000000000004,1.7,-0.8250000000000004,-32.673267326732685
DQN_vs_DQN,success_rate,15.625,21.666666666666668,6.041666666666668,38.66666666666667
DQN_vs_DQN,mean_reward,-210.693680625,-208.88150458333337,1.8121760416666461,-0.8600998550554634
DQN_vs_DQN,static_collisions,0.06875,0.9270833333333334,0.8583333333333334,1248.4848484848485
DQN_vs_DQN,cte_mean,37.552260833333335,54.734644583333335,17.18238375,45.755923528172836
DQN_vs_DQN,iala_violations,0.0,64.05416666666667,64.05416666666667,
DQN_vs_DQN,dropped_frames,0.0,21.197916666666668,21.197916666666668,
DQN_vs_DQN,docking_accuracy,0.0,9.850951273726274,9.850951273726274,
DQN_vs_DQN,optimality_ratio,1.390020593487395,4.19846060980686,2.808440016319465,202.04305097908122
DQN_vs_DQN,mean_steps,51.37291666666667,52.449999999999996,1.0770833333333272,2.096597591143181
DDQN_vs_DDQN,vessel_collision_rate,13.75,29.583333333333332,15.833333333333332,115.15151515151514
DDQN_vs_DDQN,vessel_collisions_per_ep,0.15833333333333333,0.7208333333333333,0.5625,355.2631578947369
DDQN_vs_DDQN,near_misses_per_ep,0.5083333333333333,0.55,0.04166666666666674,8.196721311475425
DDQN_vs_DDQN,min_cpa,233.05648333333332,193.68447666666668,-39.372006666666636,-16.893761590984834
DDQN_vs_DDQN,collision_contact_steps,2.091666666666667,2.5791666666666666,0.4874999999999998,23.306772908366526
DDQN_vs_DDQN,give_way_events,1.8708333333333333,1.8625,-0.008333333333333304,-0.44543429844097837
DDQN_vs_DDQN,success_rate,13.541666666666666,17.5,3.958333333333334,29.230769230769234
DDQN_vs_DDQN,mean_reward,-179.84919312500003,-224.65494791666669,-44.80575479166666,24.912958469891745
DDQN_vs_DDQN,static_collisions,0.08333333333333334,0.9541666666666667,0.8708333333333333,1044.9999999999998
DDQN_vs_DDQN,cte_mean,26.432321458333334,59.32660895833334,32.894287500000004,124.447213430924
DDQN_vs_DDQN,iala_violations,0.0,65.64166666666667,65.64166666666667,
DDQN_vs_DDQN,dropped_frames,0.0,21.583333333333336,21.583333333333336,
DDQN_vs_DDQN,docking_accuracy,0.0,10.060826671626984,10.060826671626984,
DDQN_vs_DDQN,optimality_ratio,2.362186666666667,3.5308949558080807,1.1687082891414136,49.475695787860964
DDQN_vs_DDQN,mean_steps,52.51875,53.40208333333334,0.88333333333334,1.6819389900432513
DQN_vs_RuleBased,vessel_collision_rate,23.333333333333336,25.833333333333332,2.4999999999999964,10.7142857142857
DQN_vs_RuleBased,vessel_collisions_per_ep,0.375,0.5125,0.13749999999999996,36.66666666666666
DQN_vs_RuleBased,near_misses_per_ep,0.1375,0.2791666666666667,0.14166666666666666,103.03030303030302
DQN_vs_RuleBased,min_cpa,185.69694458333333,192.44626583333334,6.749321250000008,3.634589284785558
DQN_vs_RuleBased,collision_contact_steps,0.6791666666666667,1.3125,0.6333333333333333,93.25153374233128
DQN_vs_RuleBased,give_way_events,0.5708333333333333,1.0583333333333333,0.48750000000000004,85.40145985401462
DQN_vs_RuleBased,success_rate,26.875,27.291666666666668,0.41666666666666785,1.5503875968992291
DQN_vs_RuleBased,mean_reward,-93.57512312499999,-136.39948958333332,-42.82436645833333,45.76469154213933
DQN_vs_RuleBased,static_collisions,0.020833333333333336,0.7145833333333333,0.69375,3329.9999999999995
