pairing,condition,metric,shapiro_W,p_value,normal
DQN_vs_RuleBased,clean,success_rate,0.8424638305740805,0.07983488809188222,True
DQN_vs_RuleBased,clean,mean_reward,0.752086799879333,0.008613843749887808,False
DQN_vs_RuleBased,clean,cte_mean,0.9116493393333872,0.3658243667247223,True
DQN_vs_RuleBased,clean,docking_accuracy,,,
DQN_vs_RuleBased,clean,optimality_ratio,0.7363597224309446,0.005764820920465375,False
DQN_vs_RuleBased,harsh,vessel_collision_rate,0.9458828337605062,0.6697158042339001,True
DQN_vs_RuleBased,harsh,vessel_collisions_per_ep,0.8946391372248004,0.25830031515983254,True
DQN_vs_RuleBased,harsh,near_misses_per_ep,0.9312443525054885,0.5274700703530601,True
DQN_vs_RuleBased,harsh,min_cpa,0.8587295448190446,0.11662090061854868,True
DQN_vs_RuleBased,harsh,give_way_events,0.9092083670490744,0.34852277277781707,True
DQN_vs_RuleBased,harsh,success_rate,0.9112627520647709,0.36304145878464694,True
DQN_vs_RuleBased,harsh,mean_reward,0.9336451107570478,0.5498277244432905,True
DQN_vs_RuleBased,harsh,cte_mean,0.8146726820026045,0.04100442459167453,False
DQN_vs_RuleBased,harsh,docking_accuracy,0.9147283619825709,0.38856484157782933,True
DQN_vs_RuleBased,harsh,optimality_ratio,0.8687638679394873,0.14658719421494515,True
DQN_vs_RuleBased,mid,vessel_collision_rate,0.920514907295415,0.4340555479312839,True
DQN_vs_RuleBased,mid,vessel_collisions_per_ep,0.8048414384556847,0.03224582426615087,False
DQN_vs_RuleBased,mid,near_misses_per_ep,0.7976552983179855,0.027016706718008335,False
DQN_vs_RuleBased,mid,min_cpa,0.8484145085716883,0.09180633726656239,True
DQN_vs_RuleBased,mid,give_way_events,0.8117143662637698,0.03815279733248505,False
DQN_vs_RuleBased,mid,success_rate,0.8715745612656012,0.15616005790700593,True
DQN_vs_RuleBased,mid,mean_reward,0.888008111669121,0.2242250117181634,True
DQN_vs_RuleBased,mid,cte_mean,0.8460886238445949,0.08693928972810468,True
DQN_vs_RuleBased,mid,docking_accuracy,0.9013172803041204,0.2969360381471208,True
DQN_vs_RuleBased,mid,optimality_ratio,0.8631282496385929,0.1289860909494399,True
RuleBased_vs_RuleBased,clean,vessel_collision_rate,0.9847648703255917,0.9825521158943674,True
RuleBased_vs_RuleBased,clean,vessel_collisions_per_ep,0.9097670545078833,0.3524261501521193,True
RuleBased_vs_RuleBased,clean,near_misses_per_ep,0.7881121742935777,0.021326295446250504,False
RuleBased_vs_RuleBased,clean,min_cpa,0.9570078891852013,0.7811649032031724,True
RuleBased_vs_RuleBased,clean,give_way_events,0.9776192383569234,0.9501787074548593,True
RuleBased_vs_RuleBased,clean,success_rate,0.9600957243816484,0.8110112885711309,True
RuleBased_vs_RuleBased,clean,mean_reward,0.9599071767658329,0.809215105382805,True
RuleBased_vs_RuleBased,clean,cte_mean,0.9121554016122841,0.3694916989889576,True
RuleBased_vs_RuleBased,clean,docking_accuracy,,,
RuleBased_vs_RuleBased,clean,optimality_ratio,,,
RuleBased_vs_RuleBased,harsh,vessel_collision_rate,0.9921459609572874,0.997723126981626,True
RuleBased_vs_RuleBased,harsh,vessel_collisions_per_ep,0.8658328423212771,0.13717623948822033,True
RuleBased_vs_RuleBased,harsh,near_misses_per_ep,0.8491900521672934,0.09348519869980987,True
RuleBased_vs_RuleBased,harsh,min_cpa,0.9421677448880732,0.6325275363742618,True
RuleBased_vs_RuleBased,harsh,give_way_events,0.9431361293823096,0.6421764519899275,True
RuleBased_vs_RuleBased,harsh,success_rate,0.9600957243816484,0.8110112885711309,True
RuleBased_vs_RuleBased,harsh,mean_reward,0.9290912228736339,0.5078406387282537,True
RuleBased_vs_RuleBased,harsh,cte_mean,0.9215099446607699,0.4422351682194701,True
RuleBased_vs_RuleBased,harsh,docking_accuracy,0.7964334031012303,0.02621333779898981,False
RuleBased_vs_RuleBased,harsh,optimality_ratio,,,
RuleBased_vs_RuleBased,mid,vessel_collision_rate,0.9847648703255917,0.9825521158943674,True
RuleBased_vs_RuleBased,mid,vessel_collisions_per_ep,0.9097670545078833,0.3524261501521193,True
RuleBased_vs_RuleBased,mid,near_misses_per_ep,0.7881121742935777,0.021326295446250504,False
RuleBased_vs_RuleBased,mid,min_cpa,0.9510975863793419,0.7222933728574337,True
RuleBased_vs_RuleBased,mid,give_way_events,0.9321812397353476,0.536137971549226,True
RuleBased_vs_RuleBased,mid,success_rate,0.9600957243816484,0.8110112885711309,True
RuleBased_vs_RuleBased,mid,mean_reward,0.9665748936937201,0.8698597485962691,True
RuleBased_vs_RuleBased,mid,cte_mean,0.9297660884500178,0.5139485353652569,True
RuleBased_vs_RuleBased,mid,docking_accuracy,0.79642527279775,0.026208070570394683,False
RuleBased_vs_RuleBased,mid,optimality_ratio,,,
