condition,metric,levene_W,p_value,homoscedastic
clean,vessel_collision_rate,0.3724682457947134,0.7734783324313718,True
clean,vessel_collisions_per_ep,3.567226020302467,0.026527196769738956,False
clean,near_misses_per_ep,0.9978625004857954,0.4083003739348746,True
clean,min_cpa,0.262052392938875,0.8521120593797123,True
clean,give_way_events,2.181528746495457,0.11244272291030226,True
clean,success_rate,1.082162958287308,0.3727189726862533,True
clean,mean_reward,4.301008678749155,0.01290101878712737,False
clean,cte_mean,2.739018782923751,0.06211480613588191,True
clean,docking_accuracy,,,
clean,optimality_ratio,1.3141393784567057,0.28991166710882577,True
mid,vessel_collision_rate,0.29375639713408425,0.8295492406899733,True
mid,vessel_collisions_per_ep,1.516253712518817,0.23197858090109041,True
mid,near_misses_per_ep,0.1973801439957621,0.897288353576827,True
mid,min_cpa,0.04527915740943333,0.9869312247991091,True
mid,give_way_events,1.8451018795313192,0.1619274830311448,True
mid,success_rate,1.5062740713132066,0.23452836923686207,True
mid,mean_reward,5.539844890877516,0.004092147330919008,False
mid,cte_mean,2.4202446055405917,0.08704890850227219,True
mid,docking_accuracy,0.3808723554485432,0.7675341413615161,True
mid,optimality_ratio,1.003490748847762,0.3835096893168951,True
harsh,vessel_collision_rate,1.0396710208030981,0.390274035048682,True
harsh,vessel_collisions_per_ep,1.5324947589098536,0.22788833757698704,True
harsh,near_misses_per_ep,0.7465649779069063,0.533467969756031,True
harsh,min_cpa,0.3161699068410234,0.8135497201549932,True
harsh,give_way_events,0.4845260177682318,0.695735330540864,True
harsh,success_rate,1.1194129979035632,0.3579463544923686,True
harsh,mean_reward,8.274615535197068,0.0004256142046442648,False
harsh,cte_mean,0.6395109188076977,0.5959470328292826,True
harsh,docking_accuracy,1.664718433255652,0.19717950484915078,True
harsh,optimality_ratio,2.1238299564881333,0.14453755797957332,True
