pairing,metric,clean_mean,harsh_mean,abs_change,wilcoxon_p,cohens_dz,effect_mag,cliffs_delta,wilcoxon_p_holm,sig_holm
DQN_vs_DQN,vessel_collision_rate,15.833333333333332,24.583333333333332,8.75,0.04252247799805163,0.8080338988717544,large,0.546875,0.08504495599610326,False
DQN_vs_DQN,vessel_collisions_per_ep,0.17916666666666664,0.5583333333333333,0.3791666666666667,0.0078125,1.3433916483278474,large,0.96875,0.03125,True
DQN_vs_DQN,near_misses_per_ep,0.7625,0.625,-0.13749999999999998,0.546875,-0.2000960943985943,small,-0.09375,1.0,False
DQN_vs_DQN,min_cpa,224.14983416666666,198.77624833333334,-25.373585833333326,0.1953125,-0.590969795088999,medium,-0.4375,0.390625,False
DQN_vs_DQN,give_way_events,2.5250000000000004,1.7,-0.825,0.3828125,-0.3681602293158591,small,-0.265625,1.0,False
DQN_vs_DQN,success_rate,15.625,21.666666666666668,6.041666666666666,0.25,0.5413506568315324,medium,0.453125,0.8163367110622928,False
DQN_vs_DQN,mean_reward,-210.693680625,-208.88150458333334,1.8121760416666515,0.84375,0.023652637675514326,negligible,-0.125,0.84375,False
DQN_vs_DQN,cte_mean,37.552260833333335,54.734644583333335,17.182383749999996,0.078125,0.7767954575384521,medium,0.4375,0.15625,False
DQN_vs_DQN,docking_accuracy,0.0,9.850951273726274,9.850951273726274,0.0078125,4.724593828347232,large,1.0,0.03125,True
DQN_vs_DQN,optimality_ratio,1.390020593487395,4.19846060980686,2.808440016319465,0.0078125,2.305324369967229,large,1.0,0.03125,True
DDQN_vs_DDQN,vessel_collision_rate,13.75,29.58333333333333,15.83333333333333,0.01775592261403605,1.718168444518266,large,0.84375,0.0710236904561442,False
DDQN_vs_DDQN,vessel_collisions_per_ep,0.1583333333333333,0.7208333333333333,0.5625,0.0078125,5.722335467559152,large,1.0,0.03125,True
DDQN_vs_DDQN,near_misses_per_ep,0.5083333333333333,0.5499999999999999,0.04166666666666663,1.0,0.07929518496194382,negligible,0.046875,1.0,False
DDQN_vs_DDQN,min_cpa,233.05648333333332,193.68447666666668,-39.37200666666666,0.015625,-1.341414932699255,large,-0.6875,0.0625,False
DDQN_vs_DDQN,give_way_events,1.8708333333333331,1.8625,-0.008333333333333193,1.0,-0.005454426965329219,negligible,0.25,1.0,False
DDQN_vs_DDQN,success_rate,13.541666666666666,17.5,3.9583333333333335,0.2040841777655732,0.5202621117791211,medium,0.25,0.8163367110622928,False
DDQN_vs_DDQN,mean_reward,-179.84919312500003,-224.65494791666669,-44.80575479166666,0.078125,-0.6889596425848407,medium,-0.5,0.234375,False
DDQN_vs_DDQN,cte_mean,26.432321458333334,59.32660895833334,32.894287500000004,0.0078125,1.3181675938127577,large,0.9375,0.03125,True
DDQN_vs_DDQN,docking_accuracy,0.0,10.060826671626984,10.060826671626984,0.0078125,3.570673833717472,large,1.0,0.03125,True
DDQN_vs_DDQN,optimality_ratio,2.362186666666667,3.5308949558080807,1.168708289141414,0.1953125,0.5820041725726052,medium,0.71875,0.390625,False
DQN_vs_RuleBased,vessel_collision_rate,23.333333333333332,25.833333333333332,2.5,0.13801073756865956,0.5851421232041205,medium,0.21875,0.13801073756865956,False
DQN_vs_RuleBased,vessel_collisions_per_ep,0.375,0.5125,0.13750000000000004,0.25,0.5464552016137557,medium,0.21875,0.25,False
DQN_vs_RuleBased,near_misses_per_ep,0.13749999999999998,0.2791666666666667,0.14166666666666666,0.0078125,1.598215545317004,large,0.5,0.03125,True
DQN_vs_RuleBased,min_cpa,185.69694458333333,192.44626583333334,6.749321249999987,1.0,0.1762126026721015,negligible,-0.125,1.0,False
DQN_vs_RuleBased,give_way_events,0.5708333333333333,1.0583333333333333,0.48750000000000004,0.0546875,0.9543562002610221,large,0.421875,0.21875,False
DQN_vs_RuleBased,success_rate,26.875,27.291666666666664,0.41666666666666474,0.3104944343172349,0.043852900965351264,negligible,0.109375,0.8163367110622928,False
DQN_vs_RuleBased,mean_reward,-93.57512312499999,-136.39948958333332,-42.82436645833333,0.0078125,-1.3402780839611894,large,-0.8125,0.03125,True
DQN_vs_RuleBased,cte_mean,27.376101666666667,37.622502708333336,10.246401041666667,0.1484375,0.5589547462382071,medium,0.34375,0.15625,False
DQN_vs_RuleBased,docking_accuracy,0.0,9.98468889203082,9.98468889203082,0.0078125,7.037261814191928,large,1.0,0.03125,True
DQN_vs_RuleBased,optimality_ratio,1.0132191666666668,1.4499183314600657,0.436699164793399,0.027707849358079864,1.331332861065759,large,0.65625,0.08312354807423959,False
RuleBased_vs_RuleBased,vessel_collision_rate,40.83333333333333,37.916666666666664,-2.9166666666666665,0.027707849358079864,-1.3653316208096138,large,-0.15625,0.08312354807423959,False
