metric,effect,F,p_value,partial_eta2
vessel_collision_rate,pairing,27.79732924271723,2.771414364112386e-12,0.5199261441256825
vessel_collision_rate,condition,4.704119517129476,0.01181733295008108,0.10888127265883514
vessel_collision_rate,seed,7.995486983392978,2.8465045577741447e-07,0.42091508316597115
vessel_collision_rate,pairing:condition,2.20027715405764,0.05180735135963549,0.14635720114626236
vessel_collisions_per_ep,pairing,25.851867733238674,1.1353599015006389e-11,0.5017974217311231
vessel_collisions_per_ep,condition,6.266048483683536,0.0030110002932175048,0.13997323185599916
vessel_collisions_per_ep,seed,6.942112344930576,2.1017885518457573e-06,0.3869172264375005
vessel_collisions_per_ep,pairing:condition,2.298077681339425,0.042938891111745155,0.15187464533948655
near_misses_per_ep,pairing,5.72375826188598,0.0013699556100962465,0.18234089773915946
near_misses_per_ep,condition,0.624452349153798,0.5382445408949748,0.01596066683773796
near_misses_per_ep,seed,2.9996628732706037,0.007722284063447748,0.21426679345242128
near_misses_per_ep,pairing:condition,0.9437968441672516,0.46896261905268943,0.06850460378958784
min_cpa,pairing,58.985372093979144,6.606775871318362e-20,0.6967980093280525
min_cpa,condition,1.9935695090531842,0.14317748101063646,0.04923175539285268
min_cpa,seed,11.967155381829922,3.1533411363081603e-10,0.5210551843654758
min_cpa,pairing:condition,1.2250545792628467,0.30276773820528946,0.08714047349377872
give_way_events,pairing,15.785608398513562,4.3006041958924753e-08,0.3808140415379377
give_way_events,condition,0.49684470140783454,0.6103845478498764,0.012740638510938242
give_way_events,seed,2.9523035220154763,0.008559583671344295,0.2115997202438298
give_way_events,pairing:condition,1.8937769448208612,0.09252977638053018,0.1285912109743647
success_rate,pairing,57.56709243235812,1.2616565629864756e-19,0.6916315333525842
success_rate,condition,2.6502369180057865,0.07707313022840433,0.06440392854326783
success_rate,seed,8.684796044499377,8.060520013503989e-08,0.4411930926216639
success_rate,pairing:condition,0.5976342535366018,0.7313256034402045,0.044496738576068555
mean_reward,pairing,25.246498420285373,1.7795782957786176e-11,0.49587367780353364
mean_reward,condition,0.6120903047145501,0.5448331789140513,0.015649644392459614
mean_reward,seed,3.584098045967316,0.0021678533754590683,0.2457538364505417
mean_reward,pairing:condition,0.3783954910405459,0.8906647232612014,0.028640876305488245
cte_mean,pairing,22.24718873509654,1.786359320544322e-10,0.4643163975962964
cte_mean,condition,15.536548413429768,2.1466708584662667e-06,0.2875192600119598
cte_mean,seed,5.469730951991637,3.984137560622576e-05,0.33210809380770107
cte_mean,pairing:condition,1.8127447719888827,0.10756721110182116,0.1237699784852405
docking_accuracy,pairing,1.17731209796162,0.32394743376108714,0.04385758565391722
docking_accuracy,condition,658.5613017577141,3.7523697456317656e-49,0.9447681288533474
docking_accuracy,seed,2.40506713729735,0.02792900508855685,0.17941477746169987
docking_accuracy,pairing:condition,0.7036807812465166,0.6475008507368556,0.0519819788389396
optimality_ratio,pairing,29.10490051494034,1.1046022661965424e-12,0.5313870318597372
optimality_ratio,condition,15.919554740397569,1.6355777706456772e-06,0.29253371910777354
optimality_ratio,seed,0.9262890643055405,0.49116909993100966,0.07766783609814153
optimality_ratio,pairing:condition,5.486153976695632,9.034419253307568e-05,0.29947093408516123
