Algorithm,n0.0/p0.0,n0.1/p0.0,n0.25/p0.0,n0.0/p0.2,n0.0/p0.4,n0.25/p0.4,Interpretation
DQN,17±13%,41±32%,39±36%,12±19%,14±16%,37±18%,"Clean 17% → harshest 37%; success holds or rises under mild degradation (noise can regularise), wide CIs (n=6)."
Double DQN,26±21%,37±22%,46±31%,15±18%,13±12%,22±19%,"Clean 26% → harshest 22%; success holds or rises under mild degradation (noise can regularise), wide CIs (n=6)."
Dueling DQN,42±24%,36±21%,44±27%,29±21%,26±16%,23±16%,"Clean 42% → harshest 23%; success falls under combined stress, wide CIs (n=6)."
Dueling Double DQN,23±11%,37±10%,43±31%,25±20%,23±20%,27±18%,"Clean 23% → harshest 27%; success holds or rises under mild degradation (noise can regularise), wide CIs (n=6)."
