agent,metric,clean_mean,harsh_mean,abs_change,rel_change_pct
RuleBased,success_rate,47.333333333333336,47.333333333333336,0.0,0.0
RuleBased,mean_reward,-15.673057555555552,-34.93427,-19.261212444444446,122.89377727460088
RuleBased,collision_rate,0.0,34.222222222222214,34.222222222222214,
RuleBased,collisions_per_ep,0.0,0.5333333333333333,0.5333333333333333,
RuleBased,iala_violations,0.0,24.268888888888895,24.268888888888895,
RuleBased,cte_mean,11.000350222222222,22.834097777777778,11.833747555555556,107.57609818321744
RuleBased,dropped_frames,0.0,14.935555555555556,14.935555555555556,
RuleBased,docking_accuracy,0.0,10.581219606198465,10.581219606198465,
RuleBased,optimality_ratio,1.0,1.0,0.0,0.0
RuleBased,mean_steps,37.11333333333334,37.11333333333334,0.0,0.0
DQN,success_rate,19.999999999999996,31.999999999999996,12.0,60.000000000000014
DQN,mean_reward,-87.88871955555554,-103.55779177777778,-15.66907222222224,17.828308685641534
DQN,collision_rate,5.555555555555555,42.44444444444444,36.888888888888886,664.0
DQN,collisions_per_ep,0.05555555555555556,1.2822222222222224,1.2266666666666668,2208.0
DQN,iala_violations,0.0,57.67555555555556,57.67555555555556,
DQN,cte_mean,28.811421555555555,31.99136177777778,3.179940222222225,11.037081999201298
DQN,dropped_frames,0.0,19.533333333333328,19.533333333333328,
DQN,docking_accuracy,0.0,9.873165311051691,9.873165311051691,
DQN,optimality_ratio,1.0345920634920633,3.652561278584161,2.6179692150920975,253.04362052185613
DQN,mean_steps,49.85333333333334,50.1,0.2466666666666626,0.49478470179191475
DoubleDQN,success_rate,19.333333333333336,23.777777777777775,4.444444444444439,22.988505747126407
DoubleDQN,mean_reward,-89.05320533333332,-115.54647711111114,-26.49327177777782,29.749936207923536
DoubleDQN,collision_rate,6.0,37.777777777777786,31.777777777777786,529.6296296296298
DoubleDQN,collisions_per_ep,0.060000000000000005,1.02,0.96,1599.9999999999998
DoubleDQN,iala_violations,0.0,63.16000000000001,63.16000000000001,
DoubleDQN,cte_mean,29.020378,42.25247622222222,13.23209822222222,45.595885147403045
DoubleDQN,dropped_frames,0.0,20.55777777777778,20.55777777777778,
DoubleDQN,docking_accuracy,0.0,10.984685990259738,10.984685990259738,
DoubleDQN,optimality_ratio,1.3406959615384615,4.134989215367965,2.7942932538295038,208.42109874210595
DoubleDQN,mean_steps,50.519999999999996,52.377777777777766,1.8577777777777698,3.67731151579131
DuelingDQN,success_rate,32.222222222222214,32.666666666666664,0.44444444444444997,1.3793103448276036
DuelingDQN,mean_reward,-59.60054244444445,-99.7635526666667,-40.16301022222225,67.38698772693128
DuelingDQN,collision_rate,10.222222222222221,44.22222222222222,34.0,332.60869565217394
DuelingDQN,collisions_per_ep,0.13333333333333333,1.168888888888889,1.0355555555555558,776.6666666666667
DuelingDQN,iala_violations,0.0,59.388888888888886,59.388888888888886,
DuelingDQN,cte_mean,25.575630222222223,35.575372222222214,9.99974199999999,39.09871198916298
DuelingDQN,dropped_frames,0.0,19.38222222222222,19.38222222222222,
DuelingDQN,docking_accuracy,0.0,11.613411130084831,11.613411130084831,
DuelingDQN,optimality_ratio,1.0792821428571429,2.924930588019193,1.8456484451620503,171.00703994565637
DuelingDQN,mean_steps,44.86666666666667,49.27555555555556,4.408888888888896,9.826646854878668
DuelingDoubleDQN,success_rate,17.777777777777775,29.555555555555557,11.777777777777782,66.25000000000004
DuelingDoubleDQN,mean_reward,-92.42682022222222,-111.35318488888886,-18.926364666666643,20.477134906471843
DuelingDoubleDQN,collision_rate,4.666666666666666,45.77777777777778,41.111111111111114,880.9523809523811
DuelingDoubleDQN,collisions_per_ep,0.04666666666666666,1.4044444444444444,1.3577777777777778,2909.5238095238096
DuelingDoubleDQN,iala_violations,0.0,57.92666666666667,57.92666666666667,
DuelingDoubleDQN,cte_mean,27.64349311111111,35.957752222222226,8.314259111111117,30.07673117754159
DuelingDoubleDQN,dropped_frames,0.0,19.635555555555552,19.635555555555552,
DuelingDoubleDQN,docking_accuracy,0.0,11.249675124518339,11.249675124518339,
DuelingDoubleDQN,optimality_ratio,1.132528205128205,2.848263552994624,1.715735347866419,151.49603692847487
DuelingDoubleDQN,mean_steps,50.83555555555555,49.87555555555556,-0.9599999999999937,-1.8884420353208482
