agent,condition,n_seeds,success_rate_mean,success_rate_sd,success_rate_ci95_hw,success_rate_boot_lo,success_rate_boot_hi,mean_reward_mean,mean_reward_sd,mean_reward_ci95_hw,mean_reward_boot_lo,mean_reward_boot_hi,collision_rate_mean,collision_rate_sd,collision_rate_ci95_hw,collision_rate_boot_lo,collision_rate_boot_hi,collisions_per_ep_mean,collisions_per_ep_sd,collisions_per_ep_ci95_hw,collisions_per_ep_boot_lo,collisions_per_ep_boot_hi,iala_violations_mean,iala_violations_sd,iala_violations_ci95_hw,iala_violations_boot_lo,iala_violations_boot_hi,cte_mean_mean,cte_mean_sd,cte_mean_ci95_hw,cte_mean_boot_lo,cte_mean_boot_hi,dropped_frames_mean,dropped_frames_sd,dropped_frames_ci95_hw,dropped_frames_boot_lo,dropped_frames_boot_hi,docking_accuracy_mean,docking_accuracy_sd,docking_accuracy_ci95_hw,docking_accuracy_boot_lo,docking_accuracy_boot_hi,optimality_ratio_mean,optimality_ratio_sd,optimality_ratio_ci95_hw,optimality_ratio_boot_lo,optimality_ratio_boot_hi,mean_steps_mean,mean_steps_sd,mean_steps_ci95_hw,mean_steps_boot_lo,mean_steps_boot_hi
DQN,clean,15,19.999999999999996,16.035674514745462,8.880260552804579,12.444444444444445,28.22222222222222,-87.88871955555554,44.61132572386194,24.704928730602614,-109.83006695555554,-66.30364982777779,5.555555555555555,16.265001215808883,9.007257446841413,0.4444444444444445,14.444444444444445,0.05555555555555556,0.16265001215808886,0.09007257446841413,0.0044444444444444444,0.14444444444444443,0.0,0.0,0.0,0.0,0.0,28.811421555555555,34.37441401948956,19.035915986094157,13.83051275,47.5170120111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0345920634920633,0.10802622446166636,0.06863658845944746,1.0,1.100495238095238,49.85333333333334,7.885387329315747,4.366781951062767,45.89766666666667,53.52905555555556
DQN,harsh,15,31.999999999999996,15.725825488717192,8.70867188151834,24.444444444444446,39.55555555555556,-103.55779177777778,36.28105647746244,20.091779385682976,-121.62268447222223,-85.13998543333335,42.44444444444444,14.279892993833808,7.907941155503411,35.55555555555555,49.55555555555555,1.2822222222222224,0.6078672926738578,0.3366256864036541,1.0066666666666666,1.597777777777778,57.67555555555556,10.626124341382353,5.884551518628281,52.302,62.74227777777779,31.99136177777778,14.790788585609455,8.19086570389551,25.939344027777782,39.86730798333334,19.533333333333328,2.384240586560672,1.3203484274865542,18.375499999999995,20.726666666666667,9.873165311051691,2.6575101642970993,1.4716800755081516,8.574384986608734,11.160523330909585,3.652561278584161,1.8197846446454269,1.007763145827408,2.9325888842946273,4.649649889480237,50.1,5.4374363707278714,3.011151895541331,47.43333333333333,52.75783333333332
DQN,mid,15,19.111111111111107,13.5381100335469,7.497155444249344,12.444444444444446,25.555555555555554,-109.79939377777777,33.864391829692735,18.753475111596295,-126.23728579444445,-93.31676024444444,25.11111111111111,11.46884438530716,6.351234323660383,19.555555555555554,30.44444444444445,0.6022222222222222,0.5674317897147074,0.3142332512409942,0.35333333333333333,0.9022222222222223,17.604444444444447,4.965481908335845,2.749792225809563,15.151055555555555,19.98005555555556,39.23978333333334,27.132779558587632,15.025632490888254,27.53303241111112,53.32849223333333,10.068888888888889,1.3365120838453166,0.7401357221116309,9.42222222222222,10.73333333333333,4.7146657215007215,0.9442975760324538,0.5999780556284522,4.201278292748918,5.208540426046176,2.233492694805195,1.5378676561417555,0.9771144918348329,1.5615340549918835,3.1814721893262985,51.39999999999999,6.182515027356754,3.423762702596185,48.42433333333333,54.364555555555555
DoubleDQN,clean,15,19.333333333333336,17.511900715418264,9.697767373911276,11.333333333333336,28.444444444444446,-89.05320533333332,45.58426694268927,25.243725618616594,-109.90245534444442,-66.00194347222222,6.0,8.746881530461955,4.843861537822513,2.0,10.449999999999921,0.060000000000000005,0.08746881530461958,0.04843861537822514,0.02,0.10444444444444444,0.0,0.0,0.0,0.0,0.0,29.020378,34.50844007996042,19.110137144471544,14.114180444444447,47.86165823888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3406959615384615,0.9839762214168951,0.5946108795889943,1.003657435897436,1.939531923076923,50.519999999999996,8.749283870921566,4.8451919096255995,46.01094444444444,54.51555555555556
DoubleDQN,harsh,15,23.777777777777775,14.078389758813264,7.796352383383472,16.888888888888886,30.666666666666668,-115.54647711111114,30.25000451738838,16.75189413397671,-129.80916751666672,-100.9719045388889,37.777777777777786,12.514541805985411,6.930322253293754,31.77777777777777,43.77777777777778,1.02,0.6667618979601553,0.369240431708941,0.7155555555555555,1.3711111111111112,63.16000000000001,10.389312273861515,5.7534093668154815,58.08883333333333,68.38022222222223,42.25247622222222,20.77893784627505,11.50699223258607,33.0367739388889,53.211135999999996,20.55777777777778,2.145888156180554,1.1883532511549735,19.47111111111111,21.579999999999995,10.984685990259738,3.598693217716285,2.0778236027848265,9.433582520292209,13.038713026920995,4.134989215367965,1.873999496582081,1.082015095489619,3.251640616883117,5.098968159226191,52.377777777777766,4.80166417359428,2.6590729881287514,50.02438888888887,54.69344444444443
DoubleDQN,mid,15,22.666666666666668,13.463648883933406,7.4559202340297075,16.444444444444443,29.55555555555555,-103.1141991111111,39.14958094602384,21.6803152878988,-121.18700354444442,-82.92318352777777,29.555555555555554,15.879839803011619,8.793962165911328,22.222222222222225,37.55555555555555,0.611111111111111,0.5090711533306903,0.2819142080575597,0.3888888888888889,0.8866666666666666,17.884444444444448,4.46156187803491,2.4707306146042103,15.582,19.906722222222225,43.289031333333334,36.6519326607226,20.297163770178397,26.96511782777777,62.257268094444434,9.964444444444442,1.3715630445536162,0.7595462971659948,9.26,10.622222222222222,4.597498153594771,1.6088014719054062,0.9288943147650003,3.779713405153727,5.409558367772109,2.640272578698146,1.3591262931554824,0.7847361584425427,1.9947632133770177,3.3403562740929704,51.175555555555555,5.896305901191295,3.2652653714984083,48.10000000000001,53.82
DuelingDQN,clean,15,32.222222222222214,20.61231973523904,11.414722198203961,22.444444444444443,42.666666666666664,-59.60054244444445,52.7687530585659,29.22236141521652,-85.49814661666667,-34.05075246111112,10.222222222222221,14.500501724580092,8.030110198498708,3.7777777777777777,18.0,0.13333333333333333,0.2104417123236605,0.11653873586009954,0.04444444444444444,0.24444444444444446,0.0,0.0,0.0,0.0,0.0,25.575630222222223,44.78566650738304,24.801475438458517,8.89603126111111,50.499451177777786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0792821428571429,0.24584944114670876,0.1419492411943528,1.0,1.223847619047619,44.86666666666667,8.082540461851108,4.475961716722497,40.815555555555555,48.748888888888885
DuelingDQN,harsh,15,32.666666666666664,20.439612955674523,11.319080371578057,22.666666666666668,42.666666666666664,-99.7635526666667,44.820168583496304,24.8205820513557,-121.50317950555558,-77.70485437777778,44.22222222222222,14.555131461166948,8.060363138241046,36.888888888888886,51.33333333333333,1.168888888888889,0.5582664020531557,0.30915762873274255,0.8933333333333334,1.4444444444444449,59.388888888888886,12.128614117997175,6.716602623307152,53.48861111111112,65.04672222222221,35.575372222222214,23.363706486609946,12.938389394818673,25.78541146111111,48.18185375,19.38222222222222,2.2157397513026313,1.2270357751824268,18.31555555555556,20.4645,11.613411130084831,3.431639283526952,1.9003784925253375,9.99962843324457,13.325484019798699,2.924930588019193,0.6894277027086533,0.3817923360033674,2.5899156869058326,3.2586802942326427,49.27555555555556,5.963972079324565,3.3027376519368383,46.35322222222222,52.15999999999999
DuelingDQN,mid,15,31.777777777777775,19.634221285873437,10.87306933111229,22.66666666666667,41.77777777777778,-85.40327822222223,50.57894293730478,28.00968499053068,-107.99976583333334,-58.70445853888889,28.222222222222225,11.329597890472035,6.274122185093114,22.883333333333333,33.777777777777786,0.7533333333333333,0.6565663447659841,0.36359432254396856,0.4622222222222223,1.102222222222222,16.766666666666666,4.740135956793739,2.624999797379224,14.366666666666669,19.013333333333332,39.91951288888889,29.417584223334185,16.290915140305685,26.669572322222226,55.15951727777777,9.28,1.836698210773974,1.0171295665514304,8.377722222222221,10.151166666666667,4.344901976430003,1.295986374942087,0.7176933325622006,3.711847308983122,4.949387181902308,2.0654833804408153,0.7484419256690449,0.41447332336861253,1.721253868299816,2.4487353948218447,46.89111111111112,7.8287977412929814,4.335443681771011,42.84655555555556,50.56227777777778
DuelingDoubleDQN,clean,15,17.777777777777775,14.511444124621457,8.036169897662031,10.88888888888889,25.11111111111111,-92.42682022222222,38.73229441864104,21.4492297114906,-110.89948593888889,-73.22971018333334,4.666666666666666,9.57841488692319,5.304349361826036,0.888888888888889,10.0,0.04666666666666666,0.09578414886923187,0.053043493618260336,0.008888888888888889,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,27.64349311111111,25.636868390940275,14.197224498424738,16.086208066666664,41.07492983888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.132528205128205,0.43625233117198503,0.263624645306362,1.0,1.3753538461538461,50.83555555555555,7.393019730850225,4.094117863368049,47.09311111111112,54.26672222222223
