agent,condition,seed,full_cycle_success_rate,dock_success_rate,mean_reward,phase1_steps,dock_accuracy,collisions_per_ep,cte_mean,iala_violations,dropped_frames,n_eval
DQN,clean,0,0.0,43.333333333333336,723.041,25.0,0.0,0.0,23.003446666666665,0.0,0.0,30
DQN,clean,1,0.0,0.0,546.7939999999999,,,0.0,0.0,0.0,0.0,30
DQN,clean,2,0.0,0.0,-202.9754,,,0.0,0.0,0.0,0.0,30
DQN,clean,3,0.0,0.0,231.6727666666667,,,0.0,0.0,0.0,0.0,30
DQN,clean,4,0.0,0.0,507.79026666666675,,,0.0,0.0,0.0,0.0,30
DQN,clean,5,0.0,36.666666666666664,1203.3639666666668,27.0,0.0,0.0,0.0,0.0,0.0,30
DQN,clean,6,43.333333333333336,100.0,3288.140793333334,25.933333333333334,0.0,0.0,108.77441333333334,0.0,0.0,30
DQN,clean,7,0.0,43.333333333333336,1994.6985699999998,27.0,0.0,0.0,37.429210000000005,0.0,0.0,30
DQN,harsh,0,0.0,66.66666666666666,2098.0963866666666,66.5,11.278285,4.466666666666667,16.58750666666667,95.5,45.06666666666667,30
DQN,harsh,1,0.0,0.0,177.25310333333337,,,1.6,13.201656666666668,147.6,45.63333333333333,30
DQN,harsh,2,0.0,0.0,570.6684633333334,,,0.5,13.269203333333332,145.7,44.06666666666667,30
DQN,harsh,3,0.0,43.333333333333336,913.5072500000001,84.15384615384616,11.431792307692307,4.466666666666667,21.026543333333333,116.66666666666667,45.93333333333333,30
DQN,harsh,4,0.0,76.66666666666667,2559.30637,69.6086956521739,13.742973913043476,4.066666666666666,13.199173333333336,81.73333333333333,44.3,30
DQN,harsh,5,0.0,36.666666666666664,1766.6440666666665,72.18181818181819,12.013409090909091,4.9,13.204436666666663,119.46666666666667,43.766666666666666,30
DQN,harsh,6,0.0,13.333333333333334,1320.4458066666668,71.5,11.328275,1.5333333333333334,14.291056666666664,137.86666666666667,44.63333333333333,30
