pairing,condition,n_seeds,vessel_collision_rate_mean,vessel_collision_rate_sd,vessel_collision_rate_ci95_hw,vessel_collision_rate_boot_lo,vessel_collision_rate_boot_hi,vessel_collisions_per_ep_mean,vessel_collisions_per_ep_sd,vessel_collisions_per_ep_ci95_hw,vessel_collisions_per_ep_boot_lo,vessel_collisions_per_ep_boot_hi,near_misses_per_ep_mean,near_misses_per_ep_sd,near_misses_per_ep_ci95_hw,near_misses_per_ep_boot_lo,near_misses_per_ep_boot_hi,min_cpa_mean,min_cpa_sd,min_cpa_ci95_hw,min_cpa_boot_lo,min_cpa_boot_hi,head_on_events_mean,head_on_events_sd,head_on_events_ci95_hw,head_on_events_boot_lo,head_on_events_boot_hi,give_way_events_mean,give_way_events_sd,give_way_events_ci95_hw,give_way_events_boot_lo,give_way_events_boot_hi,success_rate_mean,success_rate_sd,success_rate_ci95_hw,success_rate_boot_lo,success_rate_boot_hi,mean_reward_mean,mean_reward_sd,mean_reward_ci95_hw,mean_reward_boot_lo,mean_reward_boot_hi,cte_mean_mean,cte_mean_sd,cte_mean_ci95_hw,cte_mean_boot_lo,cte_mean_boot_hi,iala_violations_mean,iala_violations_sd,iala_violations_ci95_hw,iala_violations_boot_lo,iala_violations_boot_hi
DQN_vs_DQN,clean,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.73617083333335,56.85367737879702,47.53086376026016,185.39173157291665,258.84129125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083333333333333,4.249182927993987,3.5524058276347685,0.0,5.0,-123.05437624999999,10.632605397068437,8.889080563382196,-129.72317416666664,-115.66729035416668,27.765076875,26.038754056059535,21.768943164036276,12.188402916666668,45.67892447395833,0.0,0.0,0.0,0.0,0.0
DQN_vs_DQN,harsh,8,21.666666666666668,11.547005383792516,9.65353808302146,14.583333333333332,29.583333333333332,0.375,0.20295436972501038,0.16967409922628035,0.2583333333333333,0.5166666666666667,0.3666666666666667,0.2563479777846623,0.2143122726454461,0.21666666666666667,0.5458333333333334,184.07335999999998,45.38656536577131,37.944118206699265,156.03775771875,214.86167099999997,0.3375,0.23933605251141338,0.20008994719980877,0.18333333333333335,0.49166666666666664,0.8875,0.4231167424928701,0.3537344490158505,0.6041666666666667,1.1541666666666666,9.583333333333332,10.569122442584776,8.836007485266991,3.958333333333333,17.291666666666664,-181.06055479166665,18.028607827879014,15.072293331964042,-193.13747229166665,-169.86005178125,49.68438729166667,18.37721261073067,15.363734223808207,37.979237765625,61.343191041666664,43.06666666666667,5.452602407646556,4.558489690121057,39.7,46.81463541666666
DQN_vs_DQN,mid,8,7.5,5.270462766947298,4.4062171398383585,4.166666666666667,11.249999999999998,0.17916666666666667,0.15216688833238953,0.12721470222516967,0.09166666666666667,0.2875,0.17916666666666667,0.17989194287435753,0.15039342787557977,0.07500000000000001,0.30833333333333335,205.0447716666667,53.39091517700504,44.63592211293349,170.0349679166667,239.72912541666668,0.4375,0.2235624269195491,0.18690286619505644,0.2916666666666667,0.5791666666666667,0.7791666666666668,0.23700344917455304,0.19813984200833026,0.625,0.925,1.8750000000000002,2.4295632895188755,2.0311657404612835,0.4166666666666667,3.541666666666667,-163.55047083333335,21.86023674251347,18.27561526851979,-177.21101249999998,-149.09776914583335,34.78448354166667,18.8895310817411,15.792043184110273,23.190297942708334,47.14528166666666,12.804166666666667,1.790334499206117,1.4967570980517655,11.727083333333333,14.01677083333333
DQN_vs_Rule,clean,8,32.91666666666667,26.870500730797882,22.464300785613478,14.583333333333334,49.16666666666667,0.32916666666666666,0.2687050073079788,0.22464300785613478,0.1416666666666667,0.4958333333333333,0.225,0.2180359661608207,0.18228262937819387,0.08333333333333334,0.3666666666666667,165.0931675,120.98220326587557,101.14365307513037,101.859895,254.33498291666666,0.3916666666666666,0.3513014352556767,0.2936953496722912,0.17083333333333334,0.6208333333333333,0.41666666666666663,0.37458972265327883,0.3131648451656121,0.17916666666666667,0.6625000000000001,23.125,10.444011726936203,8.731412309464718,15.625,28.75,-118.24078875,23.415759669080085,19.576064979204155,-134.38680794270837,-103.65368604166667,89.00638229166665,31.609348373590617,26.426076559403846,69.17022979166667,110.07466354166667,0.0,0.0,0.0,0.0,0.0
DQN_vs_Rule,harsh,8,30.83333333333333,17.434685370497913,14.57576173176771,20.416666666666668,42.916666666666664,0.4583333333333333,0.2647250745195194,0.22131570077830262,0.2916666666666667,0.6333333333333333,0.4083333333333333,0.2947961361767856,0.24645573745939417,0.21666666666666667,0.6041666666666667,163.05838749999998,89.04192818363055,74.44091486376539,110.50312766666666,224.062655,0.575,0.5095126834566286,0.425963263205438,0.2875,0.9291666666666667,1.5541666666666667,1.086853255964208,0.9086320607274496,0.8625,2.2583333333333337,28.75,16.87371394276382,14.106777881745518,17.708333333333332,39.79166666666667,-154.77148875,19.193557468568365,16.046215604225353,-167.14885138020833,-142.13856473958333,101.000896875,18.521276927637942,15.48417500680298,89.33935125,112.60275625,51.175,9.592585595797328,8.019602250610376,45.075,57.18197916666666
DQN_vs_Rule,mid,8,25.416666666666668,15.830200191255893,13.234378553476583,15.833333333333334,36.25,0.3125,0.18681754106826706,0.15618337286048908,0.19166666666666665,0.43333333333333335,0.21250000000000002,0.15006612299197067,0.12545841844914493,0.12083333333333333,0.30833333333333335,153.0815175,68.31629752896679,57.11385402249638,110.34446249999999,198.68978664583332,0.30416666666666664,0.18381970117395616,0.15367711598914896,0.1875,0.425,0.5,0.27888667551135854,0.2331550954912522,0.31666666666666665,0.675,31.249999999999996,17.428994270176386,14.57100385283182,19.791666666666664,42.291666666666664,-113.06092416666667,37.57239535403831,31.411308591718992,-136.304868453125,-87.24346833333334,93.24856770833334,27.333139429772075,22.851076417111454,76.193975,111.47317041666666,14.266666666666666,3.7844292518033362,3.1638620309350642,11.724947916666666,16.535416666666663
Rule_vs_Rule,clean,8,42.5,18.322507626258087,15.3179997122717,29.166666666666664,52.08333333333333,0.42500000000000004,0.18322507626258086,0.153179997122717,0.2916666666666667,0.5208333333333333,0.21666666666666667,0.10540925533894598,0.08812434279676717,0.14166666666666666,0.275,91.85919833333332,38.08829448354187,31.842611057434524,68.68961252083335,117.66732708333333,0.42500000000000004,0.18322507626258086,0.153179997122717,0.2916666666666667,0.5166666666666666,0.42500000000000004,0.18322507626258086,0.153179997122717,0.2875,0.5166666666666667,45.20833333333333,21.956622098315897,18.356195442509343,29.583333333333332,58.12499999999999,-51.16760624999999,37.629538024634826,31.459081059855475,-76.03882639583333,-26.693544890625,54.274755416666665,23.37350809558203,19.540741779788007,37.143013515625,66.33717780729168,0.0,0.0,0.0,0.0,0.0
Rule_vs_Rule,harsh,8,42.5,18.322507626258087,15.3179997122717,29.166666666666664,52.08333333333333,0.42500000000000004,0.18322507626258086,0.153179997122717,0.29166666666666663,0.5208333333333333,0.21666666666666667,0.10540925533894598,0.08812434279676717,0.14166666666666666,0.2791666666666667,93.74966916666666,37.05669984735403,30.9801763589405,71.27412147916667,119.09871749999999,0.42500000000000004,0.18322507626258086,0.153179997122717,0.2916666666666667,0.5208333333333333,0.42500000000000004,0.18322507626258086,0.153179997122717,0.2916666666666667,0.5166666666666667,45.20833333333333,21.956622098315897,18.356195442509343,29.583333333333332,58.33333333333333,-68.57933,35.811367034634465,29.939052073114965,-90.85773875000001,-44.70029896874999,65.937136875,23.86238199278461,19.949450585888016,48.989484583333336,78.748131671875,25.16041666666667,9.986693279495979,8.349084519557472,18.195833333333333,31.59791666666667
Rule_vs_Rule,mid,8,42.5,18.322507626258087,15.3179997122717,29.156250000000007,51.666666666666664,0.42500000000000004,0.18322507626258086,0.153179997122717,0.29583333333333334,0.5166666666666667,0.21666666666666667,0.10540925533894598,0.08812434279676717,0.14583333333333331,0.2791666666666667,93.31443083333332,37.15797003306827,31.06484035293493,70.81876045833333,118.07633333333332,0.42500000000000004,0.18322507626258086,0.153179997122717,0.2916666666666667,0.5166666666666667,0.42500000000000004,0.18322507626258086,0.153179997122717,0.29166666666666663,0.5208333333333333,45.20833333333333,21.956622098315897,18.356195442509343,29.583333333333332,58.33333333333333,-63.7876375,35.77006778504625,29.904525036411613,-87.095398296875,-39.563345093750016,59.85119333333333,23.78944103334632,19.888470417753865,41.48704163020833,72.262755875,7.685416666666667,3.2938186154414413,2.753701274562453,5.510364583333334,9.904166666666667
