pairing,condition,seed,vessel_collision_rate,vessel_collisions_per_ep,near_misses_per_ep,min_cpa,head_on_events,give_way_events,success_rate,mean_reward,cte_mean,iala_violations,n_encounters,n_vessel_rows
DQN_vs_DQN,clean,0,0.0,0.0,0.0,159.80171,0.0,0.0,0.0,-124.28778499999999,12.13753,0.0,30,60
DQN_vs_DQN,clean,1,0.0,0.0,0.0,311.72091,0.0,0.0,0.0,-135.92782333333332,62.37440166666667,0.0,30,60
DQN_vs_DQN,clean,2,0.0,0.0,0.0,244.05570666666665,0.0,0.0,0.0,-122.99910333333334,5.728753333333333,0.0,30,60
DQN_vs_DQN,clean,3,0.0,0.0,0.0,185.54517333333337,0.0,0.0,0.0,-123.00849166666667,15.152358333333334,0.0,30,60
DQN_vs_DQN,clean,4,0.0,0.0,0.0,139.14984999999996,0.0,0.0,0.0,-122.27036,5.782473333333333,0.0,30,60
DQN_vs_DQN,clean,5,0.0,0.0,0.0,238.9055733333334,0.0,0.0,0.0,-136.43061,72.56117666666667,0.0,30,60
DQN_vs_DQN,clean,6,0.0,0.0,0.0,232.23332666666667,0.0,0.0,11.666666666666666,-103.01557,32.67581166666667,0.0,30,60
DQN_vs_DQN,clean,7,0.0,0.0,0.0,262.47711666666663,0.0,0.0,5.0,-116.49526666666665,15.708110000000001,0.0,30,60
DQN_vs_DQN,harsh,0,20.0,0.26666666666666666,0.3,166.44742666666667,0.6666666666666666,1.4,1.6666666666666667,-203.13117833333334,35.898965,43.71666666666667,30,60
DQN_vs_DQN,harsh,1,23.333333333333332,0.3333333333333333,0.4666666666666667,214.86858999999998,0.06666666666666667,0.4666666666666667,8.333333333333332,-165.29736666666665,59.564556666666675,41.233333333333334,30,60
DQN_vs_DQN,harsh,2,30.0,0.43333333333333335,0.5,121.00321,0.43333333333333335,1.2333333333333334,10.0,-160.83769333333333,22.510545,43.6,30,60
DQN_vs_DQN,harsh,3,6.666666666666667,0.1,0.1,210.97212333333334,0.1,0.26666666666666666,3.3333333333333335,-169.9154666666667,54.25077999999999,54.36666666666667,30,60
DQN_vs_DQN,harsh,4,10.0,0.26666666666666666,0.16666666666666666,166.55731,0.06666666666666667,0.5,0.0,-179.92168166666667,31.818791666666662,34.733333333333334,30,60
DQN_vs_DQN,harsh,5,16.666666666666664,0.36666666666666664,0.2,267.98957666666666,0.5,0.9,6.666666666666667,-196.47967999999997,49.542008333333335,40.666666666666664,30,60
DQN_vs_DQN,harsh,6,23.333333333333332,0.43333333333333335,0.3,171.5595066666667,0.3,1.1333333333333333,13.333333333333334,-205.28275666666664,70.08956833333333,42.35,30,60
DQN_vs_DQN,harsh,7,43.333333333333336,0.8,0.9,153.18913666666666,0.5666666666666667,1.2,33.33333333333333,-167.61861499999998,73.79988333333334,43.86666666666667,30,60
DQN_vs_DQN,mid,0,10.0,0.16666666666666666,0.06666666666666667,202.60322333333332,0.5,0.7,3.3333333333333335,-167.1503933333333,27.10397666666667,13.283333333333333,30,60
DQN_vs_DQN,mid,1,6.666666666666667,0.2,0.1,246.28364333333334,0.5666666666666667,0.6666666666666666,0.0,-190.1862916666667,34.77417499999999,10.966666666666667,30,60
DQN_vs_DQN,mid,2,3.3333333333333335,0.03333333333333333,0.06666666666666667,130.20158999999998,0.8,0.8666666666666667,0.0,-140.86993666666666,8.264798333333333,11.766666666666667,30,60
DQN_vs_DQN,mid,3,10.0,0.23333333333333334,0.36666666666666664,156.04128333333333,0.6,1.1,0.0,-182.887385,22.132436666666663,15.816666666666666,30,60
