scenario,level,metric,clean_mean,harsh_mean,abs_change,rel_change_pct
twophase,RuleBased,full_cycle_success_rate,21.666666666666668,21.666666666666668,0.0,0.0
twophase,RuleBased,dock_success_rate,43.33333333333333,43.33333333333333,0.0,0.0
twophase,RuleBased,mean_reward,164.80439166666667,94.11661958333335,-70.68777208333333,-42.89192258074433
twophase,RuleBased,phase1_steps,26.46666666666667,26.46666666666667,0.0,0.0
twophase,RuleBased,dock_accuracy,0.0,10.719502369826811,10.719502369826811,
twophase,RuleBased,collisions_per_ep,0.0,2.3874999999999997,2.3874999999999997,
twophase,RuleBased,cte_mean,41.17861666666667,51.57831458333333,10.39969791666666,25.255092954798123
twophase,RuleBased,iala_violations,0.0,89.6625,89.6625,
twophase,RuleBased,dropped_frames,0.0,39.15416666666667,39.15416666666667,
twophase,DQN,full_cycle_success_rate,5.416666666666667,0.8333333333333334,-4.583333333333334,-84.61538461538461
twophase,DQN,dock_success_rate,27.916666666666668,41.66666666666667,13.750000000000004,49.2537313432836
twophase,DQN,mean_reward,1036.5657454166667,1743.8455275000001,707.2797820833334,68.23298813516448
twophase,DQN,phase1_steps,26.233333333333334,70.13440482555926,43.901071492225924,167.348430084724
twophase,DQN,dock_accuracy,0.0,11.496216230101732,11.496216230101732,
twophase,DQN,collisions_per_ep,0.0,2.9333333333333336,2.9333333333333336,
twophase,DQN,cte_mean,21.150883750000002,17.611789583333334,-3.5390941666666684,-16.732606582770654
twophase,DQN,iala_violations,0.0,116.22083333333333,116.22083333333333,
twophase,DQN,dropped_frames,0.0,44.733333333333334,44.733333333333334,
twoway,Rule_vs_Rule,vessel_collision_rate,42.5,42.5,0.0,0.0
twoway,Rule_vs_Rule,vessel_collisions_per_ep,0.42500000000000004,0.42500000000000004,0.0,0.0
twoway,Rule_vs_Rule,near_misses_per_ep,0.21666666666666667,0.21666666666666667,0.0,0.0
twoway,Rule_vs_Rule,min_cpa,91.85919833333332,93.74966916666666,1.8904708333333389,2.0580092877289307
twoway,Rule_vs_Rule,head_on_events,0.42500000000000004,0.42500000000000004,0.0,0.0
twoway,Rule_vs_Rule,give_way_events,0.42500000000000004,0.42500000000000004,0.0,0.0
twoway,Rule_vs_Rule,success_rate,45.20833333333333,45.20833333333333,0.0,0.0
twoway,Rule_vs_Rule,mean_reward,-51.16760624999999,-68.57933,-17.411723750000007,34.028802646987245
twoway,Rule_vs_Rule,cte_mean,54.274755416666665,65.937136875,11.662381458333329,21.487672065588068
twoway,Rule_vs_Rule,iala_violations,0.0,25.16041666666667,25.16041666666667,
twoway,DQN_vs_Rule,vessel_collision_rate,32.91666666666667,30.83333333333333,-2.083333333333343,-6.32911392405066
twoway,DQN_vs_Rule,vessel_collisions_per_ep,0.32916666666666666,0.4583333333333333,0.12916666666666665,39.24050632911392
twoway,DQN_vs_Rule,near_misses_per_ep,0.225,0.4083333333333333,0.18333333333333332,81.48148148148148
twoway,DQN_vs_Rule,min_cpa,165.0931675,163.05838749999998,-2.034780000000012,-1.232504064712437
twoway,DQN_vs_Rule,head_on_events,0.3916666666666666,0.575,0.18333333333333335,46.80851063829788
twoway,DQN_vs_Rule,give_way_events,0.41666666666666663,1.5541666666666667,1.1375000000000002,273.00000000000006
twoway,DQN_vs_Rule,success_rate,23.125,28.75,5.625,24.324324324324323
twoway,DQN_vs_Rule,mean_reward,-118.24078875,-154.77148875,-36.53070000000001,30.895176179209997
twoway,DQN_vs_Rule,cte_mean,89.00638229166665,101.000896875,11.994514583333341,13.476016297379996
twoway,DQN_vs_Rule,iala_violations,0.0,51.175,51.175,
twoway,DQN_vs_DQN,vessel_collision_rate,0.0,21.666666666666668,21.666666666666668,
twoway,DQN_vs_DQN,vessel_collisions_per_ep,0.0,0.375,0.375,
twoway,DQN_vs_DQN,near_misses_per_ep,0.0,0.3666666666666667,0.3666666666666667,
twoway,DQN_vs_DQN,min_cpa,221.73617083333335,184.07335999999998,-37.66281083333337,-16.985415907467075
twoway,DQN_vs_DQN,head_on_events,0.0,0.3375,0.3375,
twoway,DQN_vs_DQN,give_way_events,0.0,0.8875,0.8875,
twoway,DQN_vs_DQN,success_rate,2.083333333333333,9.583333333333332,7.499999999999999,360.0
twoway,DQN_vs_DQN,mean_reward,-123.05437624999999,-181.06055479166665,-58.00617854166666,47.138655535354566
twoway,DQN_vs_DQN,cte_mean,27.765076875,49.68438729166667,21.91931041666667,78.94561400045347
twoway,DQN_vs_DQN,iala_violations,0.0,43.06666666666667,43.06666666666667,
