Metric,Primary Test,Statistic,p-value,Effect Size,Interpretation
Success rate,RM-ANOVA,"F(3,27)=0.39",0.763,partial eta^2=0.041,Omnibus test across the 4 base algorithms is not significant (p=0.763); effect size partial eta^2=0.041. Algorithm choice does not detectably affect this metric at this budget.
Mean reward,RM-ANOVA,"F(3,27)=0.36",0.784,partial eta^2=0.038,Omnibus test across the 4 base algorithms is not significant (p=0.784); effect size partial eta^2=0.038. Algorithm choice does not detectably affect this metric at this budget.
Optimality ratio,Friedman,chi^2(3)=1.94,0.584,Kendall W=0.081,Omnibus test across the 4 base algorithms is not significant (p=0.584); effect size Kendall W=0.081. Algorithm choice does not detectably affect this metric at this budget.
Mean steps,RM-ANOVA,"F(3,27)=0.29",0.831,partial eta^2=0.031,Omnibus test across the 4 base algorithms is not significant (p=0.831); effect size partial eta^2=0.031. Algorithm choice does not detectably affect this metric at this budget.
Revisit rate,RM-ANOVA,"F(3,27)=0.38",0.766,partial eta^2=0.041,Omnibus test across the 4 base algorithms is not significant (p=0.766); effect size partial eta^2=0.041. Algorithm choice does not detectably affect this metric at this budget.
Excess cost,Friedman,chi^2(3)=1.94,0.584,Kendall W=0.081,Omnibus test across the 4 base algorithms is not significant (p=0.584); effect size Kendall W=0.081. Algorithm choice does not detectably affect this metric at this budget.
Route risk,RM-ANOVA,"F(3,21)=2.13",0.127,partial eta^2=0.233,Omnibus test across the 4 base algorithms is not significant (p=0.127); effect size partial eta^2=0.233. Algorithm choice does not detectably affect this metric at this budget.
Route difficulty,RM-ANOVA,"F(3,21)=2.14",0.126,partial eta^2=0.234,Omnibus test across the 4 base algorithms is not significant (p=0.126); effect size partial eta^2=0.234. Algorithm choice does not detectably affect this metric at this budget.
