config_id,metric,n,shapiro_W,p_value,normal_at_0.05
DQN,success_rate,10,0.8576174674585955,0.07152279683266398,True
DQN,mean_reward,10,0.8747032766529859,0.11337070285460521,True
DQN,optimality_ratio,9,0.4423701740486896,1.340261111064509e-06,False
DQN,mean_steps,10,0.8828898450980559,0.14082896662679706,True
DQN,revisit_rate,10,0.8765430043122514,0.11906297983958158,True
DQN,excess_cost,9,0.570657086520522,4.3281876823974146e-05,False
DQN,route_risk,9,0.8923292872314704,0.2108036007767189,True
DQN,route_difficulty,9,0.9187701204344084,0.38215443318615416,True
DQN+Noisy,success_rate,10,0.9108245332497664,0.2867028575858076,True
DQN+Noisy,mean_reward,10,0.9076885413028872,0.26548814500655865,True
DQN+Noisy,optimality_ratio,9,0.9368788906499854,0.549455263941917,True
DQN+Noisy,mean_steps,10,0.8939737112334349,0.18789545599014018,True
DQN+Noisy,revisit_rate,10,0.9049695720890992,0.24819224058584605,True
DQN+Noisy,excess_cost,9,0.8850415483841608,0.17730057187061182,True
DQN+Noisy,route_risk,9,0.9678818694063612,0.8760317811967093,True
DQN+Noisy,route_difficulty,9,0.9361872726337169,0.5423854818938836,True
DQN+PER,success_rate,10,0.9776992912885786,0.951676128024773,True
DQN+PER,mean_reward,10,0.9674397471743809,0.8661454077719868,True
DQN+PER,optimality_ratio,9,0.6835379905811312,0.0009113809109863803,False
DQN+PER,mean_steps,10,0.972266040536718,0.9110230816577302,True
DQN+PER,revisit_rate,10,0.9466742179396367,0.6293510181831051,True
DQN+PER,excess_cost,9,0.7436988882422255,0.004581643883539261,False
DQN+PER,route_risk,9,0.8922382045087537,0.21035227548049745,True
DQN+PER,route_difficulty,9,0.8866301635209564,0.18416642351173484,True
DQN+PER+Noisy,success_rate,10,0.966842648110138,0.8601277751782017,True
DQN+PER+Noisy,mean_reward,10,0.9764548314510499,0.9434173225088626,True
DQN+PER+Noisy,optimality_ratio,9,0.8693393927158012,0.12096470022633604,True
DQN+PER+Noisy,mean_steps,10,0.9666564785519733,0.8582332418980047,True
DQN+PER+Noisy,revisit_rate,10,0.9861411167142929,0.9895487017141157,True
DQN+PER+Noisy,excess_cost,9,0.8969899742854378,0.23506627826634224,True
DQN+PER+Noisy,route_risk,9,0.8537263365265301,0.08188901995149139,True
DQN+PER+Noisy,route_difficulty,9,0.8934843476782064,0.21660173942938743,True
DoubleDQN,success_rate,10,0.9157150316357929,0.32259715727312654,True
DoubleDQN,mean_reward,10,0.936196003522683,0.5115118806360179,True
DoubleDQN,optimality_ratio,9,0.563008816658798,3.5194141342956066e-05,False
DoubleDQN,mean_steps,10,0.9702430272847772,0.8930893842672765,True
DoubleDQN,revisit_rate,10,0.9739787881994431,0.9250860075015311,True
DoubleDQN,excess_cost,9,0.5501700736531785,2.486747357604648e-05,False
