algorithm,contrast,metric,baseline_mean,enhanced_mean,abs_change,rel_change_pct,var_baseline,var_enhanced,var_ratio,wilcoxon_p,t_p,cohens_dz,rank_biserial,cliffs_delta,wilcoxon_p_holm,wilcoxon_p_bh,sig_holm_0.05,effect_dz_mag
DQN,+PER,success_rate,49.75,41.25,-8.5,-17.08542713567839,639.5138888888889,714.2361111111111,1.116842219567814,0.21352435403618242,0.26500537560342363,-0.3758748621607269,-0.4666666666666667,-0.29,0.6405730621085473,0.6405730621085473,False,small
DQN,+Noisy,success_rate,49.75,55.0,5.249999999999999,10.552763819095475,639.5138888888889,650.0,1.0163970029319145,1.0,0.5958177730424381,0.17387002849206068,0.03636363636363636,0.11,1.0,1.0,False,negligible
DQN,+PER+Noisy,success_rate,49.75,45.75,-4.0,-8.040201005025125,639.5138888888889,511.18055555555554,0.799326745574981,0.556640625,0.6816136221733309,-0.13403847642680705,-0.23636363636363636,-0.16,1.0,0.8349609375,False,negligible
DQN,+PER,mean_reward,-18.632237500000002,-38.4821225,-19.849884999999997,106.53516519419632,2972.6562200146177,3128.756815208951,1.0525121587028203,0.193359375,0.22656669968799967,-0.41046075935617904,-0.4909090909090909,-0.3,0.580078125,0.580078125,False,small
DQN,+Noisy,mean_reward,-18.632237500000002,-5.3288125,13.303425000000004,-71.40003985028638,2972.6562200146177,2924.735301069062,0.9838794278924995,0.845703125,0.5343190077214238,0.20432568197766365,0.09090909090909091,0.18,1.0,0.845703125,False,small
DQN,+PER+Noisy,mean_reward,-18.632237500000002,-27.2655725,-8.633334999999999,46.335470981410566,2972.6562200146177,2331.67831476798,0.784375367413496,0.6953125,0.6855271847015942,-0.13228040123233958,-0.16363636363636364,-0.16,1.0,0.845703125,False,negligible
DQN,+PER,optimality_ratio,1.5867713675213677,1.222169986071899,-0.36460138144946846,-22.977562420917497,2.5051378385174234,0.11378458019356187,0.04542048682674532,0.7531523647659145,0.5389468409007012,-0.21393684393476278,0.14285714285714285,0.25925925925925924,1.0,0.8657723749926213,False,small
DQN,+Noisy,optimality_ratio,1.5867713675213677,1.0523749982802937,-0.6069537278962077,-38.25086211659503,2.5051378385174234,0.0017665561468725363,0.0007051732322713266,0.8657723749926214,0.3363140557094523,-0.3649398052755067,0.07142857142857142,0.40625,1.0,0.8657723749926213,False,small
DQN,+PER+Noisy,optimality_ratio,1.5867713675213677,1.228810999900035,-0.4183679135739992,-26.365985808498365,2.5051378385174234,0.05914821124548794,0.02361076118689449,0.6001794871405538,0.5206906685291866,-0.23903215809163567,0.23809523809523808,0.375,1.0,0.8657723749926213,False,small
DQN,+PER,mean_steps,36.68750000000001,40.5875,3.8999999999999995,10.630323679727423,151.66392361111113,151.52684027777778,0.9990961374988236,0.3139380937749148,0.27032550873550043,0.37141664024665383,0.37777777777777777,0.27,0.9418142813247443,0.845703125,False,small
DQN,+Noisy,mean_steps,36.68750000000001,33.9325,-2.755000000000001,-7.509369676320273,151.66392361111113,134.34347916666667,0.8857972019182581,0.845703125,0.5621697446961345,-0.19030032013764286,-0.09090909090909091,-0.15,1.0,0.845703125,False,negligible
DQN,+PER+Noisy,mean_steps,36.68750000000001,38.83,2.142500000000001,5.839863713798979,151.66392361111113,111.77969444444446,0.7370223042037619,0.625,0.6524655749552757,0.1472804750392096,0.2,0.17,1.0,0.845703125,False,negligible
DQN,+PER,revisit_rate,26.52,32.3425,5.8225,21.955128205128204,177.77594444444443,174.91056249999997,0.9838820603462473,0.232421875,0.1920062076543435,0.44603938302942897,0.45454545454545453,0.3,0.697265625,0.6953125,False,small
DQN,+Noisy,revisit_rate,26.52,22.6575,-3.8625000000000007,-14.564479638009052,177.77594444444443,163.3894513888889,0.9190751420249021,0.6953125,0.4614942690151763,-0.24323626800232187,-0.16363636363636364,-0.18,1.0,0.6953125,False,small
DQN,+PER+Noisy,revisit_rate,26.52,29.092499999999994,2.5724999999999993,9.70022624434389,177.77594444444443,121.83986805555554,0.6853563255496072,0.6953125,0.6284692261554983,0.1583952994507656,0.16363636363636364,0.18,1.0,0.6953125,False,negligible
DQN,+PER,excess_cost,14.238376068376068,15.494311914172783,1.2559358457967151,8.82078012102934,844.7434979947402,523.5376859128811,0.6197593555388821,0.916511907863894,0.9321334893277935,0.029292706621041366,0.047619047619047616,0.2345679012345679,1.0,0.916511907863894,False,negligible
DQN,+Noisy,excess_cost,14.238376068376068,3.5170366252127008,-12.621584998558788,-88.644835183078,844.7434979947402,5.652537616580435,0.006691424828955157,0.8657723749926214,0.2539631536735796,-0.43938746007025703,0.07142857142857142,0.40625,1.0,0.916511907863894,False,small
DQN,+PER+Noisy,excess_cost,14.238376068376068,14.912482133634178,-0.4088925813465316,-2.8717641631526813,844.7434979947402,224.56561787914882,0.2658388237520913,0.916511907863894,0.9753011922168557,-0.011343186043478743,0.047619047619047616,0.3125,1.0,0.916511907863894,False,negligible
DQN,+PER,route_risk,0.6464768104734772,0.584353938313431,-0.062122872160046146,-9.609450973894576,0.053672483684092456,0.06735385154654215,1.2549046908836194,0.734375,0.6371142652677206,-0.16341899256467352,-0.15555555555555556,-0.18518518518518517,1.0,0.9453125,False,negligible
DQN,+Noisy,route_risk,0.6464768104734772,0.6064821669928993,-0.07964966587993588,-12.320575864368712,0.053672483684092456,0.014027496129280368,0.2613535869113853,0.7421875,0.4369212856787257,-0.29145403723081054,-0.16666666666666666,-0.125,1.0,0.9453125,False,small
DQN,+PER+Noisy,route_risk,0.6464768104734772,0.6671047266343684,-0.013876927652330631,-2.1465468563624457,0.053672483684092456,0.013087195876886015,0.24383436313316761,0.9453125,0.903950596996774,-0.044234496631035805,-0.05555555555555555,0.0625,1.0,0.9453125,False,negligible
