metric,rm_anova_F,rm_anova_df_between,rm_anova_df_error,rm_anova_p,rm_anova_partial_eta2,friedman_chi2,friedman_df,friedman_p,kendall_W,n_blocks
success_rate,0.38719832109129065,3,27,0.7631013703175572,0.04124748490945674,2.8163265306122356,3,0.42081932677447353,0.09387755102040786,10
mean_reward,0.3573622747837202,3,27,0.784209340570353,0.038190492607809184,1.799999999999983,3,0.6149349357825411,0.05999999999999943,10
optimality_ratio,1.2448082226479187,3,21,0.31865663465907873,0.15098085838170455,1.9444444444444444,3,0.5840171552999918,0.08101851851851852,8
mean_steps,0.29123681870268703,3,27,0.83133298482762,0.03134532295167047,1.799999999999983,3,0.6149349357825411,0.05999999999999943,10
revisit_rate,0.3825907744244671,3,27,0.766350013391927,0.04077666644775258,1.5600000000000023,3,0.6684931675206047,0.052000000000000074,10
excess_cost,1.7009345571926489,3,21,0.19740089962705465,0.19548871974753185,1.9444444444444444,3,0.5840171552999918,0.08101851851851852,8
route_risk,2.1305921251065882,3,21,0.1267424848365616,0.23334654488048512,5.549999999999997,3,0.13567846171436632,0.23124999999999987,8
route_difficulty,2.135813234914917,3,21,0.12607011855728412,0.23378468670444622,3.75,3,0.28975578119338535,0.15625,8
