metric,effect,sum_sq,F,p_value,partial_eta2
success_rate,algorithm,555.0000000000048,0.35906029715025395,0.7826616907285007,0.00791595537469308
success_rate,per,2.499999999998503,0.004852166177703188,0.9445693515798411,3.5940679907790636e-05
success_rate,noisy,975.1562499999519,1.8926480696913897,0.17118175915419132,0.013825783169362402
success_rate,seed,17433.43749999995,3.7595527021623476,0.00030120133387671395,0.20040737441085138
success_rate,algorithm:per,1111.8749999999927,0.7193336358449236,0.5420976495361329,0.015733685918837427
success_rate,algorithm:noisy,755.4687499999991,0.48875465560851944,0.6906644363060184,0.010744516074551595
success_rate,per:noisy,56.4062499999967,0.10947699938448734,0.7412533450092837,0.0008102836441664715
success_rate,algorithm:per:noisy,2272.968749999999,1.4705096122310524,0.2254088826436849,0.031643931269563996
mean_reward,algorithm,3236.8295807305517,0.4600032588290656,0.7106833648255877,0.010118856705970992
mean_reward,per,102.07545755624169,0.04351947665259047,0.835064614494146,0.00032226260705619765
mean_reward,noisy,7076.436594727596,3.017011380998244,0.08467608165922928,0.02185970664637661
mean_reward,seed,80711.48377717083,3.823447670672873,0.0002500590141400356,0.2031215395588686
mean_reward,algorithm:per,4976.824548160369,0.7072833010434719,0.5492648604213988,0.01547419251293207
mean_reward,algorithm:noisy,3509.6977921145713,0.4987820277870463,0.6837474020279759,0.01096253582090241
mean_reward,per:noisy,230.67224037225236,0.09834621778452295,0.7543073649148406,0.0007279601900232331
mean_reward,algorithm:per:noisy,10145.419223514858,1.4418200861691826,0.23342584589539228,0.031045727395997782
optimality_ratio,algorithm,4.623314984019768,2.758179630035718,0.045148096583426445,0.06255579463392866
optimality_ratio,per,0.18698051843154406,0.3346468014405124,0.5639848194440189,0.002691500800858311
optimality_ratio,noisy,4.496240624452854,8.047108629827186,0.005325179322700529,0.06094119525468718
optimality_ratio,seed,3.345002999062663,0.6651878696211552,0.73893167873821,0.04605618304859365
optimality_ratio,algorithm:per,0.38911540485189805,0.23213866827270835,0.873848877834381,0.005584891908931981
optimality_ratio,algorithm:noisy,6.198476684156138,3.6978904069015304,0.01366626626659619,0.08211836365436166
optimality_ratio,per:noisy,1.3942199690712838e-05,2.49529339777188e-05,0.9960223783994729,2.0123329803514195e-07
optimality_ratio,algorithm:per:noisy,1.1455050546584455,0.6833859944179758,0.5638267889412051,0.01626462049755063
mean_steps,algorithm,195.86589062499553,0.5876492240152978,0.6241178326051822,0.012890535792438446
mean_steps,per,2.9160000000012745,0.026246302484236796,0.8715424829428715,0.00019437926479449138
mean_steps,noisy,257.42939062501466,2.3170677828099913,0.130299981097296,0.016873851300661494
mean_steps,seed,3944.592515625002,3.9449385894720743,0.00017552731171763573,0.20823179609905534
mean_steps,algorithm:per,291.75196875000194,0.8753326957225429,0.4556741478299069,0.01908068332775622
mean_steps,algorithm:noisy,209.31670312499918,0.6280052017854962,0.5981334768453517,0.013763591000925926
mean_steps,per:noisy,6.561000000000988,0.05905418058951588,0.8083659837380808,0.00043724710607371517
mean_steps,algorithm:per:noisy,477.9066562499986,1.4338457543623866,0.23570116272494676,0.030879323714591934
revisit_rate,algorithm,269.6682656249968,0.6626289430894695,0.5764282883523579,0.014511405900771096
revisit_rate,per,78.5400624999965,0.5789659953195041,0.4480449066467309,0.00427032313655122
revisit_rate,noisy,714.2362656250168,5.265064697661681,0.023300585961897557,0.037536536335761254
revisit_rate,seed,4382.278265624997,3.5893784890916454,0.000494247518351958,0.19308760059933755
revisit_rate,algorithm:per,300.44978125000085,0.7382652925057273,0.5309790202695371,0.01614108641384554
revisit_rate,algorithm:noisy,238.03582812499997,0.5849017081870337,0.6259129530807681,0.012831040240720437
revisit_rate,per:noisy,8.510062500000704,0.06273278437414427,0.8026084396793622,0.0004644714576766067
revisit_rate,algorithm:per:noisy,640.0804687499985,1.5728059195879986,0.19888209430146658,0.03377090747556814
excess_cost,algorithm,5641.4279527222525,2.6955565746640926,0.048880656519105656,0.06122245144714563
excess_cost,per,822.2766583653005,1.178687348960919,0.279729511800195,0.009416038575920592
excess_cost,noisy,4661.988953448166,6.682698997377736,0.010892533641863728,0.051136830266352476
excess_cost,seed,8769.997944676137,1.396810985780939,0.1965544463354519,0.09204934694081036
excess_cost,algorithm:per,60.00428096355143,0.028670920804943194,0.9934259946101016,0.0006931704911778946
excess_cost,algorithm:noisy,8669.493457862836,4.142410447353639,0.0077680804923986125,0.09109054856432877
excess_cost,per:noisy,46.26881403668201,0.06632374299044543,0.797193488719888,0.000534582963285334
excess_cost,algorithm:per:noisy,771.5598604112008,0.36866255705255074,0.7757450282389061,0.008840405577267427
route_risk,algorithm,0.400545153872679,1.7866475877363062,0.15316955139195454,0.041434331592278134
route_risk,per,0.0038918519939830955,0.05207928177121493,0.8198597763209108,0.0004198178867515984
route_risk,noisy,0.04869886387645518,0.6516696569347918,0.4210621251106178,0.00522792561646636
route_risk,seed,1.0553931974232187,1.5692077760009382,0.1316400227096959,0.1022485992771766
route_risk,algorithm:per,0.0051635277983853,0.023032121087968344,0.9952421081257183,0.0005569184050603276
route_risk,algorithm:noisy,0.595527353906624,2.65637344504352,0.05137004075360665,0.06038625032047863
route_risk,per:noisy,0.00022786171712716,0.0030491587525642632,0.9560527142817075,2.4589385287297537e-05
route_risk,algorithm:per:noisy,0.0674580549145737,0.300899336619654,0.8246939988435736,0.007227209854087454
route_difficulty,algorithm,2.885096029303436,1.8381418416309918,0.1436923583268306,0.0425776935854384
route_difficulty,per,0.047347600428641196,0.09049779060878264,0.7640490912313936,0.0007292886419191363
route_difficulty,noisy,0.45134606042704223,0.8626798591448205,0.3547943514923233,0.006909028863692442
route_difficulty,seed,8.475670059537217,1.799995980960564,0.07460612466885405,0.1155489872197468
route_difficulty,algorithm:per,0.11258803782811727,0.07173167932609888,0.9749871579688211,0.0017324373069856841
route_difficulty,algorithm:noisy,4.100787108907882,2.6126785008000106,0.05429435852486634,0.05945200467021026
route_difficulty,per:noisy,0.021607602415398715,0.04129967012570519,0.8392936850854849,0.00033295096258695414
route_difficulty,algorithm:per:noisy,0.22652525841655732,0.14432294504328066,0.933143039089136,0.003479534718033718
