algorithm,noise_std,packet_error_rate,condition,metric,clean_mean,degraded_mean,abs_change,rel_change_pct,clean_var,degraded_var,var_ratio
DQN,0.0,0.2,n0.0_p0.2,success_rate,17.22222222222222,12.222222222222221,-5.0,-29.03225806451613,157.4074074074074,331.85185185185185,2.108235294117647
DQN,0.0,0.2,n0.0_p0.2,mean_reward,-95.54913166666665,-114.48512833333332,-18.935996666666668,19.8180730021984,1668.7209393157223,2192.2152148302257,1.3137098979108923
DQN,0.0,0.2,n0.0_p0.2,collision_rate,2.777777777777778,16.666666666666664,13.888888888888886,499.9999999999999,19.629629629629626,119.99999999999996,6.11320754716981
DQN,0.0,0.2,n0.0_p0.2,collisions_per_ep,0.02777777777777778,0.22777777777777777,0.19999999999999998,720.0,0.0019629629629629632,0.033074074074074075,16.849056603773583
DQN,0.0,0.2,n0.0_p0.2,iala_violations,0.0,0.5722222222222223,0.5722222222222223,,0.0,0.030851851851851853,
DQN,0.0,0.2,n0.0_p0.2,cte_mean,28.260721666666665,45.91728166666667,17.656560000000002,62.477385426522204,1373.4570470563137,847.1505336648077,0.6168016214853447
DQN,0.0,0.2,n0.0_p0.2,dropped_frames,0.0,10.466666666666667,10.466666666666667,,0.0,2.783111111111112,
DQN,0.0,0.2,n0.0_p0.2,docking_accuracy,0.0,3.47554746031746,3.47554746031746,,0.0,0.7985115883288735,
DQN,0.0,0.2,n0.0_p0.2,optimality_ratio,1.0078742857142857,1.1289650793650794,0.12109079365079367,12.014473964377016,0.000310021877551021,0.007863917467876043,25.36568557676018
DQN,0.0,0.2,n0.0_p0.2,mean_steps,51.055555555555564,54.07222222222222,3.0166666666666586,5.908596300326424,42.24118518518519,72.97796296296296,1.7276495117982098
DQN,0.0,0.4,n0.0_p0.4,success_rate,17.22222222222222,13.888888888888888,-3.333333333333334,-19.354838709677423,157.4074074074074,237.40740740740745,1.5082352941176476
DQN,0.0,0.4,n0.0_p0.4,mean_reward,-95.54913166666665,-113.76743611111112,-18.21830444444447,19.066949250780187,1668.7209393157223,917.3615953217844,0.5497393684638241
DQN,0.0,0.4,n0.0_p0.4,collision_rate,2.777777777777778,22.777777777777775,19.999999999999996,719.9999999999998,19.629629629629626,450.74074074074076,22.9622641509434
DQN,0.0,0.4,n0.0_p0.4,collisions_per_ep,0.02777777777777778,0.35555555555555557,0.3277777777777778,1180.0,0.0019629629629629632,0.2305185185185185,117.43396226415092
DQN,0.0,0.4,n0.0_p0.4,iala_violations,0.0,18.705555555555556,18.705555555555556,,0.0,37.91796296296296,
DQN,0.0,0.4,n0.0_p0.4,cte_mean,28.260721666666665,35.10149444444445,6.840772777777783,24.20593804526382,1373.4570470563137,501.0871315672786,0.3648364050708703
DQN,0.0,0.4,n0.0_p0.4,dropped_frames,0.0,20.866666666666664,20.866666666666664,,0.0,7.263999999999998,
DQN,0.0,0.4,n0.0_p0.4,docking_accuracy,0.0,7.62694888888889,7.62694888888889,,0.0,13.99148766139506,
DQN,0.0,0.4,n0.0_p0.4,optimality_ratio,1.0078742857142857,1.4983722222222222,0.4904979365079365,48.666579102205986,0.000310021877551021,0.4166928202469137,1344.0755327931256
DQN,0.0,0.4,n0.0_p0.4,mean_steps,51.055555555555564,53.61666666666667,2.561111111111103,5.016322089227404,42.24118518518519,45.451,1.0759878019696416
DQN,0.1,0.0,n0.1_p0.0,success_rate,17.22222222222222,40.55555555555555,23.33333333333333,135.48387096774192,157.4074074074074,912.9629629629628,5.8
DQN,0.1,0.0,n0.1_p0.0,mean_reward,-95.54913166666665,-51.37474611111111,44.174385555555546,-46.2321161741821,1668.7209393157223,4212.909002532535,2.5246336300304866
DQN,0.1,0.0,n0.1_p0.0,collision_rate,2.777777777777778,25.555555555555554,22.777777777777775,819.9999999999998,19.629629629629626,936.2962962962962,47.69811320754717
DQN,0.1,0.0,n0.1_p0.0,collisions_per_ep,0.02777777777777778,0.4166666666666667,0.3888888888888889,1400.0,0.0019629629629629632,0.26077777777777783,132.8490566037736
DQN,0.1,0.0,n0.1_p0.0,iala_violations,0.0,0.43333333333333335,0.43333333333333335,,0.0,0.05244444444444446,
DQN,0.1,0.0,n0.1_p0.0,cte_mean,28.260721666666665,26.934102777777778,-1.3266188888888877,-4.694214480919027,1373.4570470563137,1007.9956074228772,0.73391127125765
DQN,0.1,0.0,n0.1_p0.0,dropped_frames,0.0,0.0,0.0,,0.0,0.0,
DQN,0.1,0.0,n0.1_p0.0,docking_accuracy,0.0,2.602135,2.602135,,0.0,0.731625382207143,
DQN,0.1,0.0,n0.1_p0.0,optimality_ratio,1.0078742857142857,2.532313611111111,1.5244393253968251,151.25292380254024,0.000310021877551021,7.312609529874609,23587.39837213958
DQN,0.1,0.0,n0.1_p0.0,mean_steps,51.055555555555564,41.48888888888889,-9.566666666666677,-18.73775843307945,42.24118518518519,157.07451851851852,3.7185158946157513
DQN,0.1,0.2,n0.1_p0.2,success_rate,17.22222222222222,18.333333333333332,1.1111111111111107,6.451612903225804,157.4074074074074,234.44444444444443,1.4894117647058824
DQN,0.1,0.2,n0.1_p0.2,mean_reward,-95.54913166666665,-104.26303444444444,-8.71390277777779,9.119813676776435,1668.7209393157223,1509.2338567448164,0.9044255520420896
DQN,0.1,0.2,n0.1_p0.2,collision_rate,2.777777777777778,21.666666666666668,18.88888888888889,679.9999999999999,19.629629629629626,158.8888888888889,8.094339622641511
DQN,0.1,0.2,n0.1_p0.2,collisions_per_ep,0.02777777777777778,0.3888888888888889,0.3611111111111111,1299.9999999999998,0.0019629629629629632,0.0665185185185185,33.88679245283018
DQN,0.1,0.2,n0.1_p0.2,iala_violations,0.0,17.522222222222222,17.522222222222222,,0.0,34.86918518518519,
DQN,0.1,0.2,n0.1_p0.2,cte_mean,28.260721666666665,40.484175555555545,12.22345388888888,43.252447807468286,1373.4570470563137,1413.9896907666919,1.0295114024841552
DQN,0.1,0.2,n0.1_p0.2,dropped_frames,0.0,10.277777777777779,10.277777777777779,,0.0,1.369629629629629,
DQN,0.1,0.2,n0.1_p0.2,docking_accuracy,0.0,4.996901974025974,4.996901974025974,,0.0,0.8472443537727313,
DQN,0.1,0.2,n0.1_p0.2,optimality_ratio,1.0078742857142857,2.8961527402597405,1.8882784545454547,187.35257772820566,0.000310021877551021,4.55481939693852,14691.928946817383
DQN,0.1,0.2,n0.1_p0.2,mean_steps,51.055555555555564,52.22222222222222,1.1666666666666572,2.2850924918389364,42.24118518518519,40.87185185185186,0.9675829802755255
DQN,0.1,0.4,n0.1_p0.4,success_rate,17.22222222222222,26.666666666666668,9.444444444444446,54.838709677419374,157.4074074074074,240.0,1.5247058823529414
DQN,0.1,0.4,n0.1_p0.4,mean_reward,-95.54913166666665,-94.68988833333333,0.8592433333333247,-0.8992685944346274,1668.7209393157223,1510.6349597675853,0.9052651789621805
DQN,0.1,0.4,n0.1_p0.4,collision_rate,2.777777777777778,29.444444444444443,26.666666666666664,959.9999999999998,19.629629629629626,432.9629629629629,22.056603773584904
DQN,0.1,0.4,n0.1_p0.4,collisions_per_ep,0.02777777777777778,0.65,0.6222222222222222,2240.0,0.0019629629629629632,0.38922222222222225,198.2830188679245
DQN,0.1,0.4,n0.1_p0.4,iala_violations,0.0,40.55555555555556,40.55555555555556,,0.0,66.02251851851852,
DQN,0.1,0.4,n0.1_p0.4,cte_mean,28.260721666666665,38.06503166666667,9.804310000000005,34.69235540281381,1373.4570470563137,449.5659350817323,0.32732434992799553
DQN,0.1,0.4,n0.1_p0.4,dropped_frames,0.0,19.45,19.45,,0.0,7.107000000000001,
DQN,0.1,0.4,n0.1_p0.4,docking_accuracy,0.0,8.301972558922559,8.301972558922559,,0.0,16.82503606103619,
DQN,0.1,0.4,n0.1_p0.4,optimality_ratio,1.0078742857142857,3.844279983164983,2.8364056974506973,281.42455241235984,0.000310021877551021,4.899883908578318,15804.96172490902
DQN,0.1,0.4,n0.1_p0.4,mean_steps,51.055555555555564,49.3111111111111,-1.7444444444444613,-3.416757344940185,42.24118518518519,51.279407407407405,1.2139670604079569
DQN,0.25,0.0,n0.25_p0.0,success_rate,17.22222222222222,39.44444444444444,22.22222222222222,129.03225806451613,157.4074074074074,1161.8518518518517,7.381176470588235
DQN,0.25,0.0,n0.25_p0.0,mean_reward,-95.54913166666665,-64.01368777777778,31.535443888888878,-33.00442750113485,1668.7209393157223,5207.5617368373005,3.1206905925041726
DQN,0.25,0.0,n0.25_p0.0,collision_rate,2.777777777777778,35.55555555555555,32.77777777777777,1179.9999999999998,19.629629629629626,425.1851851851851,21.660377358490567
DQN,0.25,0.0,n0.25_p0.0,collisions_per_ep,0.02777777777777778,0.6777777777777779,0.6500000000000001,2340.0000000000005,0.0019629629629629632,0.5851851851851853,298.1132075471698
DQN,0.25,0.0,n0.25_p0.0,iala_violations,0.0,25.694444444444446,25.694444444444446,,0.0,159.16107407407407,
DQN,0.25,0.0,n0.25_p0.0,cte_mean,28.260721666666665,34.67658722222223,6.415865555555566,22.70241231356465,1373.4570470563137,1075.4714858603404,0.7830397668171449
DQN,0.25,0.0,n0.25_p0.0,dropped_frames,0.0,0.0,0.0,,0.0,0.0,
DQN,0.25,0.0,n0.25_p0.0,docking_accuracy,0.0,5.182075982350983,5.182075982350983,,0.0,2.107726701114987,
DQN,0.25,0.0,n0.25_p0.0,optimality_ratio,1.0078742857142857,2.0693520382395385,1.0614777525252528,105.31846754806112,0.000310021877551021,0.2311602547413769,745.6256202542814
DQN,0.25,0.0,n0.25_p0.0,mean_steps,51.055555555555564,44.51666666666667,-6.538888888888891,-12.807399347116434,42.24118518518519,193.2078888888889,4.573922063073427
DQN,0.25,0.2,n0.25_p0.2,success_rate,17.22222222222222,40.55555555555555,23.33333333333333,135.48387096774192,157.4074074074074,530.7407407407406,3.3717647058823528
DQN,0.25,0.2,n0.25_p0.2,mean_reward,-95.54913166666665,-75.10807,20.441061666666656,-21.393246919268176,1668.7209393157223,3133.683053366168,1.8778952067630734
DQN,0.25,0.2,n0.25_p0.2,collision_rate,2.777777777777778,43.888888888888886,41.11111111111111,1479.9999999999995,19.629629629629626,450.7407407407407,22.962264150943398
DQN,0.25,0.2,n0.25_p0.2,collisions_per_ep,0.02777777777777778,1.1444444444444444,1.1166666666666667,4020.0,0.0019629629629629632,0.6825185185185184,347.69811320754707
DQN,0.25,0.2,n0.25_p0.2,iala_violations,0.0,42.144444444444446,42.144444444444446,,0.0,167.86874074074072,
DQN,0.25,0.2,n0.25_p0.2,cte_mean,28.260721666666665,30.130643333333335,1.86992166666667,6.616680524730656,1373.4570470563137,261.12685054525343,0.19012378370690092
