algorithm,noise_std,packet_error_rate,seed,condition,success_rate,mean_reward,collision_rate,collisions_per_ep,iala_violations,cte_mean,dropped_frames,docking_accuracy,optimality_ratio,mean_steps,n_solved,n_eval
DQN,0.0,0.0,0,n0.0_p0.0,23.333333333333332,-73.76815,0.0,0.0,0.0,1.6361366666666666,0.0,0.0,1.0393714285714286,48.8,7,30
DQN,0.0,0.0,1,n0.0_p0.0,13.333333333333334,-107.74880999999999,6.666666666666667,0.06666666666666667,0.0,26.520493333333334,0.0,0.0,1.0,53.13333333333333,4,30
DQN,0.0,0.0,2,n0.0_p0.0,0.0,-156.67422666666664,0.0,0.0,0.0,99.80008999999998,0.0,,,60.0,0,30
DQN,0.0,0.0,3,n0.0_p0.0,30.0,-56.28233666666667,0.0,0.0,0.0,8.64938,0.0,0.0,1.0,43.833333333333336,9,30
DQN,0.0,0.0,4,n0.0_p0.0,30.0,-55.00975666666667,0.0,0.0,0.0,2.7807600000000003,0.0,0.0,1.0,44.43333333333333,9,30
DQN,0.0,0.0,5,n0.0_p0.0,6.666666666666667,-123.81150999999998,10.0,0.1,0.0,30.177470000000003,0.0,0.0,1.0,56.13333333333333,2,30
DQN,0.0,0.2,0,n0.0_p0.2,0.0,-146.24498000000003,16.666666666666664,0.16666666666666666,0.6,82.75516333333334,10.8,,,60.0,0,30
DQN,0.0,0.2,1,n0.0_p0.2,0.0,-138.31546666666665,16.666666666666664,0.16666666666666666,0.7666666666666667,17.030573333333333,12.266666666666667,,,60.0,0,30
DQN,0.0,0.2,2,n0.0_p0.2,16.666666666666664,-116.02191666666666,33.33333333333333,0.5,0.6,57.83093333333333,10.833333333333334,2.46014,1.0733000000000001,52.0,5,30
DQN,0.0,0.2,3,n0.0_p0.2,0.0,-139.25235,6.666666666666667,0.1,0.7,40.52304000000001,11.1,,,60.0,0,30
DQN,0.0,0.2,4,n0.0_p0.2,46.666666666666664,-21.50248333333333,3.3333333333333335,0.03333333333333333,0.26666666666666666,8.94523333333333,7.3,3.824435714285714,1.2312285714285716,38.1,14,30
DQN,0.0,0.2,5,n0.0_p0.2,10.0,-125.57357333333334,23.333333333333332,0.4,0.5,68.41874666666666,10.5,4.142066666666667,1.0823666666666667,54.333333333333336,3,30
DQN,0.0,0.4,0,n0.0_p0.4,36.666666666666664,-93.29020999999999,60.0,1.3,16.866666666666667,70.79902333333334,17.7,3.9018,1.7787,45.03333333333333,11,30
DQN,0.0,0.4,1,n0.0_p0.4,6.666666666666667,-129.0124133333333,16.666666666666664,0.16666666666666666,22.2,28.926549999999995,22.4,9.5525,2.50265,57.3,2,30
DQN,0.0,0.4,2,n0.0_p0.4,3.3333333333333335,-132.46124333333333,30.0,0.36666666666666664,24.433333333333334,11.975093333333335,21.8,13.0999,1.0,58.13333333333333,1,30
DQN,0.0,0.4,3,n0.0_p0.4,0.0,-141.15474000000003,6.666666666666667,0.06666666666666667,24.3,43.86084,23.966666666666665,,,60.0,0,30
DQN,0.0,0.4,4,n0.0_p0.4,30.0,-61.71039333333333,0.0,0.0,8.633333333333333,12.249723333333332,17.366666666666667,4.873344444444444,1.210511111111111,45.1,9,30
DQN,0.0,0.4,5,n0.0_p0.4,6.666666666666667,-124.97561666666667,23.333333333333332,0.23333333333333334,15.8,42.79773666666667,21.966666666666665,6.7072,1.0,56.13333333333333,2,30
DQN,0.1,0.0,0,n0.1_p0.0,93.33333333333333,45.94577000000001,80.0,1.3,0.26666666666666666,3.88374,0.0,2.7479857142857145,1.6375535714285712,22.033333333333335,28,30
DQN,0.1,0.0,1,n0.1_p0.0,23.333333333333332,-100.22561666666667,23.333333333333332,0.7,0.5,22.748466666666666,0.0,3.819442857142857,2.4855714285714283,49.766666666666666,7,30
DQN,0.1,0.0,2,n0.1_p0.0,10.0,-128.12097666666668,6.666666666666667,0.06666666666666667,0.8,86.53696,0.0,1.2000666666666666,1.0,54.56666666666667,3,30
DQN,0.1,0.0,3,n0.1_p0.0,20.0,-84.27506999999999,0.0,0.0,0.4,8.235303333333333,0.0,2.524766666666667,7.9296333333333315,51.36666666666667,6,30
DQN,0.1,0.0,4,n0.1_p0.0,50.0,-7.311643333333334,3.3333333333333335,0.03333333333333333,0.13333333333333333,4.3586366666666665,0.0,2.3632266666666664,1.0081733333333334,35.166666666666664,15,30
DQN,0.1,0.0,5,n0.1_p0.0,46.666666666666664,-34.260940000000005,40.0,0.4,0.5,35.84151,0.0,2.957321428571429,1.13295,36.03333333333333,14,30
DQN,0.1,0.2,0,n0.1_p0.2,23.333333333333332,-92.92929000000001,20.0,0.4,21.233333333333334,26.574926666666666,10.233333333333333,4.083557142857143,2.5853714285714284,51.333333333333336,7,30
DQN,0.1,0.2,1,n0.1_p0.2,36.666666666666664,-70.29637333333335,40.0,0.7,14.1,21.124839999999995,9.033333333333333,5.944572727272728,2.2689272727272725,44.36666666666667,11,30
DQN,0.1,0.2,2,n0.1_p0.2,0.0,-160.9051166666667,26.666666666666668,0.4,23.733333333333334,113.19717666666665,11.6,,,60.0,0,30
DQN,0.1,0.2,3,n0.1_p0.2,3.3333333333333335,-127.14693666666668,13.333333333333334,0.16666666666666666,22.566666666666666,25.775323333333333,11.466666666666667,4.4934,6.6161,58.63333333333333,1,30
DQN,0.1,0.2,4,n0.1_p0.2,33.33333333333333,-55.954990000000016,3.3333333333333335,0.03333333333333333,8.733333333333333,9.51206,8.833333333333334,6.03558,1.60929,45.93333333333333,10,30
DQN,0.1,0.2,5,n0.1_p0.2,13.333333333333334,-118.34549999999999,26.666666666666668,0.6333333333333333,14.766666666666667,46.720726666666664,10.5,4.4274,1.401075,53.06666666666667,4,30
DQN,0.1,0.4,0,n0.1_p0.4,36.666666666666664,-97.37590333333334,63.33333333333333,1.7,39.7,27.027686666666664,17.666666666666668,5.575190909090908,2.168245454545455,44.4,11,30
DQN,0.1,0.4,1,n0.1_p0.4,30.0,-97.95013999999999,43.333333333333336,1.0333333333333334,39.9,30.02631333333333,19.2,7.056511111111111,7.060411111111112,48.53333333333333,9,30
DQN,0.1,0.4,2,n0.1_p0.4,6.666666666666667,-145.46363666666667,23.333333333333332,0.6333333333333333,48.9,68.04880333333334,21.6,16.59715,4.42135,57.266666666666666,2,30
DQN,0.1,0.4,3,n0.1_p0.4,16.666666666666664,-101.96452666666666,6.666666666666667,0.06666666666666667,50.733333333333334,19.091686666666664,22.1,6.612639999999999,5.633259999999999,55.13333333333333,5,30
DQN,0.1,0.4,4,n0.1_p0.4,50.0,-24.898520000000005,13.333333333333334,0.16666666666666666,29.7,22.478420000000003,15.166666666666666,6.926326666666666,1.5875799999999998,38.13333333333333,15,30
DQN,0.1,0.4,5,n0.1_p0.4,20.0,-100.48660333333333,26.666666666666668,0.3,34.4,61.71728,20.966666666666665,7.044016666666667,2.1948333333333334,52.4,6,30
DQN,0.25,0.0,0,n0.25_p0.0,40.0,-60.88540666666667,40.0,0.5666666666666667,27.866666666666667,22.21483999999999,0.0,4.7100333333333335,1.5932083333333331,45.266666666666666,12,30
DQN,0.25,0.0,1,n0.25_p0.0,73.33333333333333,-20.86974666666666,70.0,2.2,13.666666666666666,13.077866666666667,0.0,6.467845454545454,1.7234681818181814,30.533333333333335,22,30
DQN,0.25,0.0,2,n0.25_p0.0,3.3333333333333335,-141.49149666666668,6.666666666666667,0.06666666666666667,39.2,96.06084666666669,0.0,2.8824,2.5005,59.46666666666667,1,30
DQN,0.25,0.0,3,n0.25_p0.0,10.0,-124.10550666666668,26.666666666666668,0.3333333333333333,38.13333333333333,46.079833333333326,0.0,4.578166666666666,2.5409,56.733333333333334,3,30
DQN,0.25,0.0,4,n0.25_p0.0,86.66666666666667,53.69463333333333,36.666666666666664,0.43333333333333335,8.166666666666666,7.978066666666666,0.0,5.584496153846154,1.58295,25.3,26,30
DQN,0.25,0.0,5,n0.25_p0.0,23.333333333333332,-90.42460333333334,33.33333333333333,0.4666666666666667,27.133333333333333,22.648070000000004,0.0,6.869514285714287,2.4750857142857146,49.8,7,30
DQN,0.25,0.2,0,n0.25_p0.2,40.0,-104.90252999999998,66.66666666666666,2.433333333333333,43.93333333333333,22.168766666666674,8.2,6.615516666666665,1.6354749999999998,43.0,12,30
DQN,0.25,0.2,1,n0.25_p0.2,30.0,-104.25505333333331,56.666666666666664,1.4,44.666666666666664,26.72559666666666,9.833333333333334,11.153433333333332,2.424211111111111,47.266666666666666,9,30
DQN,0.25,0.2,2,n0.25_p0.2,10.0,-118.33441333333332,10.0,0.1,60.166666666666664,35.883453333333335,11.7,6.8245000000000005,2.8749000000000002,56.96666666666667,3,30
DQN,0.25,0.2,3,n0.25_p0.2,36.666666666666664,-91.97673666666667,36.666666666666664,1.4333333333333333,44.86666666666667,24.602946666666664,8.066666666666666,6.7649,2.7727909090909093,43.96666666666667,11,30
