algorithm,noise_std,packet_error_rate,condition,n_seeds,success_rate_mean,success_rate_sd,success_rate_sem,success_rate_ci95_hw,success_rate_boot_lo,success_rate_boot_hi,mean_reward_mean,mean_reward_sd,mean_reward_sem,mean_reward_ci95_hw,mean_reward_boot_lo,mean_reward_boot_hi,collision_rate_mean,collision_rate_sd,collision_rate_sem,collision_rate_ci95_hw,collision_rate_boot_lo,collision_rate_boot_hi,collisions_per_ep_mean,collisions_per_ep_sd,collisions_per_ep_sem,collisions_per_ep_ci95_hw,collisions_per_ep_boot_lo,collisions_per_ep_boot_hi,iala_violations_mean,iala_violations_sd,iala_violations_sem,iala_violations_ci95_hw,iala_violations_boot_lo,iala_violations_boot_hi,cte_mean_mean,cte_mean_sd,cte_mean_sem,cte_mean_ci95_hw,cte_mean_boot_lo,cte_mean_boot_hi,dropped_frames_mean,dropped_frames_sd,dropped_frames_sem,dropped_frames_ci95_hw,dropped_frames_boot_lo,dropped_frames_boot_hi,docking_accuracy_mean,docking_accuracy_sd,docking_accuracy_sem,docking_accuracy_ci95_hw,docking_accuracy_boot_lo,docking_accuracy_boot_hi,optimality_ratio_mean,optimality_ratio_sd,optimality_ratio_sem,optimality_ratio_ci95_hw,optimality_ratio_boot_lo,optimality_ratio_boot_hi,mean_steps_mean,mean_steps_sd,mean_steps_sem,mean_steps_ci95_hw,mean_steps_boot_lo,mean_steps_boot_hi
DQN,0.0,0.0,n0.0_p0.0,6,17.22222222222222,12.546210878484683,5.121969142940493,13.166440841532532,8.333333333333332,26.111111111111114,-95.54913166666665,40.849980897372795,16.676934866833907,42.869425842773154,-126.42518888888888,-67.3495638888889,2.777777777777778,4.430533786083752,1.8087578440110785,4.6495600588795805,0.0,6.111111111111112,0.02777777777777778,0.044305337860837526,0.018087578440110788,0.04649560058879581,0.0,0.061111111111111116,0.0,0.0,0.0,0.0,0.0,0.0,28.260721666666665,37.06018142233405,15.12975570994849,38.8922752056084,7.143173888888889,59.20366944444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0078742857142857,0.01760743813139836,0.00787428571428572,0.021862522028357544,1.0,1.0236228571428572,51.055555555555564,6.499321901951402,2.6533370556460025,6.820620039064355,46.41111111111112,55.699999999999996
DQN,0.0,0.2,n0.0_p0.2,6,12.222222222222221,18.216801361705954,7.436978013636228,19.117360593879923,1.6666666666666667,26.666666666666668,-114.48512833333332,46.82109796694462,19.114633202646196,49.135728905573096,-139.30343055555556,-76.19338333333332,16.666666666666664,10.95445115010332,4.472135954999579,11.495991452417979,8.888888888888888,24.999999999999996,0.22777777777777777,0.18186278914080822,0.07424517276572495,0.1908532924952525,0.09999999999999999,0.36680555555555355,0.5722222222222223,0.17564695229878557,0.07170756800116691,0.18433017178145547,0.4333333333333333,0.6888888888888888,45.91728166666667,29.105850505779895,11.882413711481405,30.54471685024998,25.05093111111111,66.78363222222224,10.466666666666667,1.6682658994030635,0.6810667014704596,1.7507376916567037,9.055555555555555,11.488888888888889,3.47554746031746,0.8935947562116026,0.5159171730452068,2.219812432900076,2.46014,4.142066666666667,1.1289650793650794,0.08867873176740883,0.05119868965730811,0.22029018181088236,1.0733000000000001,1.2312285714285716,54.07222222222222,8.5427140279283,3.48754839782339,8.965028562347337,46.77222222222222,59.055555555555564
DQN,0.0,0.4,n0.0_p0.4,6,13.888888888888888,15.408030614176733,6.290302157652517,16.169736467125475,3.3333333333333335,25.555555555555554,-113.76743611111112,30.2879777357582,12.36501513223083,31.785283296280728,-133.53666611111112,-89.98250777777777,22.777777777777775,21.230655683250593,8.667378888113953,22.2802067323634,8.888888888888888,40.0,0.35555555555555557,0.4801234409175608,0.19600957396622176,0.5038586504483822,0.08888888888888889,0.7500000000000001,18.705555555555556,6.157756325396691,2.5138934929362384,6.462168949666221,13.811111111111112,22.755555555555556,35.10149444444445,22.384975576651378,9.138628011243252,23.49159116833912,20.02898666666667,52.01564055555556,20.866666666666664,2.6951808844676823,1.1003029885748137,2.8284188761267672,18.955555555555556,22.722222222222225,7.62694888888889,3.7405197047195275,1.6728112661860608,4.64446865192202,4.851497777777778,10.745108888888888,1.4983722222222222,0.6455174825261618,0.2886841943186061,0.801515818263864,1.0421022222222223,2.05733,53.61666666666667,6.741735681558571,2.752302066755513,7.0750176989860085,48.93888888888889,58.166666666666664
DQN,0.1,0.0,n0.1_p0.0,6,40.55555555555555,30.215276979749216,12.335335172874732,31.708988531877523,20.555555555555554,64.44444444444444,-51.37474611111111,64.90692569004123,26.498141452224328,68.11564109520953,-96.02920999999999,-2.490601750000033,25.555555555555554,30.59895907210401,12.491972731160175,32.111638193984504,6.111111111111111,48.888888888888886,0.4166666666666667,0.5106640556939345,0.2084777277383917,0.5359090600590426,0.08888888888888889,0.8333333333333334,0.43333333333333335,0.22900752049756895,0.0934919287465006,0.240328653814359,0.27777777777777773,0.6,26.934102777777778,31.748946556112333,12.961453155561413,33.31847604513715,7.911420555555556,53.6807661111111,0.0,0.0,0.0,0.0,0.0,0.0,2.602135,0.8553510286468025,0.34919559519156385,0.8976358540836455,1.9345091269841272,3.2098059523809526,2.532313611111111,2.7041837086031357,1.1039783761374593,2.8378667606342276,1.1311417063492064,4.75672857142857,41.48888888888889,12.532937345990305,5.116550245991247,13.152511123465615,31.58888888888889,50.00361111111106
DQN,0.1,0.2,n0.1_p0.2,6,18.333333333333332,15.311578770474469,6.25092585734898,16.068516464810642,7.222222222222222,29.444444444444443,-104.26303444444444,38.84885914341393,15.859980331770153,40.769377354397555,-132.69672222222223,-76.37292833333335,21.666666666666668,12.605113600792693,5.146016078626406,13.228255457609455,12.777777777777777,31.11111111111111,0.3888888888888889,0.25791184253251825,0.10529206880428563,0.2706618795048656,0.20000000000000004,0.5777777777777777,17.522222222222222,5.905013563505607,2.410711692467088,6.196931687611973,12.93888888888889,21.517361111111104,40.484175555555545,37.60305427444281,15.351382623761136,39.46198532454332,18.937341666666665,72.20206999999999,10.277777777777779,1.170311765996407,0.47777777777777775,1.2281668770262388,9.411111111111111,11.144444444444444,4.996901974025974,0.9204587735323789,0.4116416776208967,1.1429005209259488,4.303062857142857,5.695742545454545,2.8961527402597405,2.1342022858526133,0.9544442777803761,2.6499621432273734,1.6579314545454544,4.808592285714285,52.22222222222222,6.393109716863293,2.609976112657351,6.709157186641664,47.5,56.944444444444436
DQN,0.1,0.4,n0.1_p0.4,6,26.666666666666668,15.491933384829668,6.324555320336759,16.257787024934682,15.555555555555557,38.33333333333333,-94.68988833333333,38.86688770364287,15.86734046066314,40.788297168037815,-122.18454055555556,-62.09339444444444,29.444444444444443,20.807762084447305,8.4947332993544,21.836407117895355,15.555555555555555,45.0,0.65,0.6238767684585012,0.2546966241833024,0.6547185157234859,0.2333333333333333,1.1388888888888888,40.55555555555556,8.125424205450354,3.3171905411688,8.527109750473112,34.63333333333333,46.48333333333333,38.06503166666667,21.202969958987637,8.656076238513348,22.251152346605522,23.62414222222222,53.26413222222223,19.45,2.665895721891612,1.0883473710171767,2.7976859827992913,17.383333333333336,21.26111111111111,8.301972558922559,4.101833256122949,1.6745664145800148,4.304610007886016,6.292071195286194,11.75076962962963,3.844279983164983,2.2135681395833107,0.9036854088101604,2.322997297016975,2.3546390404040403,5.535905925925927,49.3111111111111,7.160964139514134,2.9234513680296734,7.514970984023211,43.97777777777778,54.288888888888884
DQN,0.25,0.0,n0.25_p0.0,6,39.44444444444444,34.08594801163453,13.915530004589908,35.771008663050935,15.555555555555555,64.44444444444444,-64.01368777777778,72.16343767336268,29.460600064145844,75.73088339183934,-113.75066944444444,-7.607429444444442,35.55555555555555,20.62001903939919,8.418087522167026,21.639382875279267,20.55555555555556,51.666666666666664,0.6777777777777779,0.7649739768026003,0.31229931827900437,0.8027909548496127,0.2722222222222222,1.3222222222222222,25.694444444444446,12.615905598651016,5.150421893302756,13.23958096478766,16.444444444444446,34.76666666666667,34.67658722222223,32.794381925267935,13.388250357809644,34.415593180736856,15.168658333333331,60.81475166666669,0.0,0.0,0.0,0.0,0.0,0.0,5.182075982350983,1.451801192007703,0.5926953547305434,1.5235719129363565,4.067207575757576,6.2065085220335225,2.0693520382395385,0.4807912798100408,0.19628221805238197,0.5045595043838593,1.7477375000000002,2.3802256493506495,44.51666666666667,13.899924060543961,5.67462023529459,14.587075700982538,34.455555555555556,54.177777777777784
DQN,0.25,0.2,n0.25_p0.2,6,40.55555555555555,23.03781111001522,9.405147001693104,24.176700044041638,24.444444444444443,58.888888888888886,-75.10807,55.97930915406306,22.853457263494324,58.7466821230293,-107.0097,-29.2134111111111,43.888888888888886,21.230655683250593,8.667378888113953,22.2802067323634,27.222222222222218,58.333333333333336,1.1444444444444444,0.8261467899341608,0.33727301466282933,0.8669878851425693,0.5888888888888889,1.7555555555555555,42.144444444444446,12.956416971552773,5.289435079173401,13.596925735300676,32.105555555555554,51.38333333333333,30.130643333333335,16.159419870318782,6.5970555369454225,16.958271131955875,19.874357777777778,43.37891277777778,8.533333333333333,2.019350830781461,0.8243965245133131,2.11917873127563,7.1499999999999995,10.1,8.593790376984126,2.1036981443570957,0.8588311710857853,2.2076958082713833,7.187225793650793,10.153582638888887,2.1926563882876384,0.5743673568834593,0.23448449154591977,0.6027615747063583,1.7864294312169309,2.615519191919192,43.611111111111114,9.191171287144508,3.752279965337289,9.645542721118094,36.461111111111116,50.12777777777777
DQN,0.25,0.4,n0.25_p0.4,6,36.666666666666664,17.126976771553505,6.992058987801011,17.97365982773891,23.888888888888886,48.888888888888886,-85.68022500000001,36.672962877136534,14.971674400835703,38.48591426384945,-111.76173179166663,-58.225095,43.888888888888886,13.89111093336177,5.6710222911888195,14.57782689121861,34.44444444444444,54.444444444444436,1.0611111111111111,0.44890814040126137,0.18326598089412677,0.47110020157651405,0.7388888888888889,1.3944444444444446,54.48888888888889,12.840468434976572,5.242099287334381,13.475245208623827,45.705555555555556,64.14444444444445,27.719996666666663,9.094682375634672,3.71288853216468,9.544283818524903,21.838262777777782,34.82736611111111,18.63888888888889,2.1778089566929086,0.8890867835267691,2.2854703360382285,17.07777777777778,20.26666666666667,9.719188152356901,2.133040002140591,0.8708099343649311,2.2384881995701424,8.193105324074073,11.265924263468014,4.035792833092833,2.7992800393413644,1.1428012905907272,2.9376642393342607,2.525476058201058,6.272059343434343,48.21666666666667,6.084689346584957,2.484064023746989,6.385489858001662,44.161111111111104,52.855555555555554
DoubleDQN,0.0,0.0,n0.0_p0.0,6,25.555555555555554,19.626135258506327,8.012336167697756,20.596365813695726,12.22222222222222,38.888888888888886,-79.72700722222221,55.942550596512824,22.83845064521452,58.70810638266491,-119.59639222222222,-38.611895,10.555555555555555,10.628403594282773,4.339027597725919,11.15382552703892,3.3333333333333326,18.333333333333332,0.10555555555555556,0.10628403594282772,0.04339027597725919,0.11153825527038919,0.03333333333333333,0.18333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,43.248091666666674,42.43173746694109,17.322684282290144,44.52937756051773,16.572547777777775,77.11212833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5990311111111108,1.4363851372087062,0.5864017767131556,1.5073937556036998,1.0,2.775891111111111,48.06666666666666,10.241310680007928,4.18099757722254,10.747596426847698,40.544444444444444,55.388888888888886
