metric,effect,F,p_value,partial_eta2
full_cycle_success_rate,agent,44.54567030582481,1.0099735739104295e-07,0.5600011934598395
full_cycle_success_rate,condition,0.24445649962704474,0.7844559680221055,0.013776499699057152
full_cycle_success_rate,seed,7.0655048484437515,2.8479985328186074e-05,0.585595458888327
full_cycle_success_rate,agent:condition,0.24445649962704005,0.7844559680221086,0.013776499699056893
dock_success_rate,agent,6.344889010687843,0.016493494380058375,0.15346247535088703
dock_success_rate,condition,1.9890723485886497,0.15199188986978637,0.10206090433712682
dock_success_rate,seed,5.369279254590301,0.0003059638291713196,0.5178064089857947
dock_success_rate,agent:condition,1.9890723485886672,0.15199188986978374,0.10206090433712763
dock_accuracy,agent,2.3392176342133872,0.14263169000383635,0.10962059032862084
dock_accuracy,condition,145.36130157709997,3.04731010505771e-12,0.938654783969575
dock_accuracy,seed,2.0728559756432836,0.09786949316420124,0.4330049348662642
dock_accuracy,agent:condition,0.07558090242696988,0.9274820561405389,0.007893087970027341
cte_mean,agent,29.805262720045956,3.986538795391788e-06,0.459920405674498
cte_mean,condition,0.5418824587204374,0.5864533787059685,0.030034696210900193
cte_mean,seed,10.3683255831352,5.701492430536043e-07,0.6746555131883157
cte_mean,agent:condition,0.8003038104769924,0.4572414650121692,0.04373172264051789
iala_violations,agent,9.838624316447799,0.003455497922326628,0.21942297442071107
iala_violations,condition,194.63992291651223,1.089616659252713e-19,0.9175072765210388
iala_violations,seed,1.647774872793909,0.15460640994211244,0.247868633388511
iala_violations,agent:condition,3.1273823262598537,0.056285144122103184,0.1516131459045346
