agent,condition,dock_mean,full_mean,drop,wilcoxon_p,cohens_dz,effect_mag,cliffs_delta,wilcoxon_p_holm,sig_holm
RuleBased,clean,43.33333333333333,21.666666666666668,21.666666666666664,0.027707849358079864,1.2542481006054347,large,0.453125,0.16624709614847918,False
RuleBased,mid,43.33333333333333,21.666666666666668,21.666666666666664,0.027707849358079864,1.2542481006054347,large,0.453125,0.16624709614847918,False
RuleBased,harsh,43.33333333333333,21.666666666666668,21.666666666666664,0.027707849358079864,1.2542481006054347,large,0.453125,0.16624709614847918,False
DQN,clean,27.916666666666668,5.416666666666667,22.5,0.06559969214707187,0.9119480702981224,large,0.375,0.16624709614847918,False
DQN,mid,7.916666666666668,1.6666666666666667,6.25,0.06788915486182899,0.606622332432303,medium,0.34375,0.16624709614847918,False
DQN,harsh,41.66666666666667,0.8333333333333334,40.833333333333336,0.027707849358079864,1.1729529396183234,large,0.71875,0.16624709614847918,False
