condition,metric,reference,vs,n,mean_x,mean_y,mean_diff,wilcoxon_p,t_p,cohens_dz,cliffs_delta,wilcoxon_p_holm,wilcoxon_p_bh,sig_holm,effect_mag
clean,vessel_collision_rate,Rule_vs_Rule,DQN_vs_Rule,8,42.5,32.91666666666667,9.583333333333332,0.7344021432940631,0.2897254254276639,0.4049267086655548,0.078125,0.7344021432940631,0.7344021432940631,False,small
clean,vessel_collision_rate,Rule_vs_Rule,DQN_vs_DQN,8,42.5,0.0,42.5,0.01734969380088989,0.0003156618366789243,2.3195514973667155,0.875,0.03469938760177978,0.03469938760177978,True,large
clean,vessel_collisions_per_ep,Rule_vs_Rule,DQN_vs_Rule,8,0.42500000000000004,0.32916666666666666,0.09583333333333335,0.7348605992017886,0.2897254254276639,0.4049267086655549,0.078125,0.7348605992017886,0.7348605992017886,False,small
clean,vessel_collisions_per_ep,Rule_vs_Rule,DQN_vs_DQN,8,0.42500000000000004,0.0,0.42500000000000004,0.01734969380088989,0.0003156618366789243,2.3195514973667155,0.875,0.03469938760177978,0.03469938760177978,True,large
clean,near_misses_per_ep,Rule_vs_Rule,DQN_vs_Rule,8,0.21666666666666665,0.22499999999999998,-0.008333333333333342,1.0,0.9200747283684965,-0.0367749326625332,-0.046875,1.0,1.0,False,negligible
clean,near_misses_per_ep,Rule_vs_Rule,DQN_vs_DQN,8,0.21666666666666665,0.0,0.21666666666666665,0.01714803250145893,0.0006542765774559128,2.0554804791094465,0.875,0.03429606500291786,0.03429606500291786,True,large
clean,min_cpa,Rule_vs_Rule,DQN_vs_Rule,8,91.85919833333334,165.0931675,-73.23396916666667,0.078125,0.10648458998669398,-0.6547121106373711,-0.5,0.078125,0.078125,False,medium
clean,min_cpa,Rule_vs_Rule,DQN_vs_DQN,8,91.85919833333334,221.73617083333335,-129.8769725,0.0078125,0.0005685582194698058,-2.104576376276784,-0.9375,0.015625,0.015625,True,large
clean,head_on_events,Rule_vs_Rule,DQN_vs_Rule,8,0.42500000000000004,0.3916666666666666,0.03333333333333335,0.8655343251561596,0.7585468218944833,0.11302089465110968,0.015625,0.8655343251561596,0.8655343251561596,False,negligible
clean,head_on_events,Rule_vs_Rule,DQN_vs_DQN,8,0.42500000000000004,0.0,0.42500000000000004,0.01734969380088989,0.0003156618366789243,2.3195514973667155,0.875,0.03469938760177978,0.03469938760177978,True,large
clean,success_rate,Rule_vs_Rule,DQN_vs_Rule,8,45.20833333333333,23.125,22.083333333333332,0.017960477526078766,0.0059244868116045185,1.3776693990115965,0.765625,0.03510465187683372,0.017960477526078766,True,large
clean,success_rate,Rule_vs_Rule,DQN_vs_DQN,8,45.20833333333333,2.083333333333333,43.125,0.01755232593841686,0.000399296097569173,2.231841834738511,0.84375,0.03510465187683372,0.017960477526078766,True,large
clean,cte_mean,Rule_vs_Rule,DQN_vs_Rule,8,54.274755416666665,89.00638229166665,-34.731626874999996,0.078125,0.08652173243218914,-0.7045931205444631,-0.59375,0.15625,0.1484375,False,medium
clean,cte_mean,Rule_vs_Rule,DQN_vs_DQN,8,54.274755416666665,27.765076875,26.509678541666666,0.1484375,0.1316363029961358,0.6034167026408679,0.40625,0.15625,0.1484375,False,medium
mid,vessel_collision_rate,Rule_vs_Rule,DQN_vs_Rule,8,42.5,25.416666666666668,17.083333333333332,0.0546875,0.035206550169897,0.9207424018720913,0.5625,0.0546875,0.0546875,False,large
mid,vessel_collision_rate,Rule_vs_Rule,DQN_vs_DQN,8,42.5,7.5,35.0,0.015625,0.0012168139452718365,1.847923972691939,0.765625,0.03125,0.03125,True,large
mid,vessel_collisions_per_ep,Rule_vs_Rule,DQN_vs_Rule,8,0.42500000000000004,0.3125,0.11250000000000002,0.1953125,0.12781077272138727,0.6105802971274218,0.390625,0.1953125,0.1953125,False,medium
mid,vessel_collisions_per_ep,Rule_vs_Rule,DQN_vs_DQN,8,0.42500000000000004,0.17916666666666664,0.24583333333333335,0.0546875,0.02616381290064038,0.9933166688096741,0.640625,0.109375,0.109375,False,large
mid,near_misses_per_ep,Rule_vs_Rule,DQN_vs_Rule,8,0.21666666666666665,0.21249999999999997,0.004166666666666666,0.8648125041589424,0.9446300570986103,0.02544932992796437,0.203125,1.0,0.8648125041589424,False,negligible
mid,near_misses_per_ep,Rule_vs_Rule,DQN_vs_DQN,8,0.21666666666666665,0.17916666666666664,0.03750000000000002,0.546875,0.5574828926547332,0.21773384384576705,0.28125,1.0,0.8648125041589424,False,small
mid,min_cpa,Rule_vs_Rule,DQN_vs_Rule,8,93.31443083333333,153.0815175,-59.76708666666667,0.015625,0.021766784095631306,-1.0388346980689631,-0.59375,0.015625,0.015625,True,large
mid,min_cpa,Rule_vs_Rule,DQN_vs_DQN,8,93.31443083333333,205.04477166666666,-111.73034083333334,0.0078125,9.1093564323769e-05,-2.8286976511629374,-0.90625,0.015625,0.015625,True,large
mid,head_on_events,Rule_vs_Rule,DQN_vs_Rule,8,0.42500000000000004,0.30416666666666664,0.12083333333333335,0.046399461870904594,0.041078204171433756,0.8833771839959792,0.421875,0.09279892374180919,0.09279892374180919,False,large
mid,head_on_events,Rule_vs_Rule,DQN_vs_DQN,8,0.42500000000000004,0.4375,-0.012499999999999956,0.8657723749926214,0.9235519571683029,-0.035168824808583354,0.0,0.8657723749926214,0.8657723749926214,False,negligible
mid,success_rate,Rule_vs_Rule,DQN_vs_Rule,8,45.20833333333333,31.249999999999996,13.958333333333332,0.11585149752593009,0.10855965426168607,0.6500610307757188,0.5,0.11585149752593009,0.11585149752593009,False,medium
mid,success_rate,Rule_vs_Rule,DQN_vs_DQN,8,45.20833333333333,1.875,43.33333333333333,0.01755232593841686,0.000640513550482048,2.0628610431760155,0.8125,0.03510465187683372,0.03510465187683372,True,large
mid,cte_mean,Rule_vs_Rule,DQN_vs_Rule,8,59.851193333333335,93.24856770833334,-33.397374375,0.0234375,0.023513046761094857,-1.0196879664402028,-0.625,0.046875,0.046875,True,large
mid,cte_mean,Rule_vs_Rule,DQN_vs_DQN,8,59.851193333333335,34.78448354166667,25.066709791666668,0.078125,0.07147781249664595,0.7503480736436325,0.59375,0.078125,0.078125,False,medium
harsh,vessel_collision_rate,Rule_vs_Rule,DQN_vs_Rule,8,42.5,30.83333333333333,11.666666666666666,0.1953125,0.13197984038661864,0.6027830933487757,0.5,0.1953125,0.1953125,False,medium
harsh,vessel_collision_rate,Rule_vs_Rule,DQN_vs_DQN,8,42.5,21.666666666666664,20.833333333333332,0.0390625,0.024349960459691806,1.011037220720505,0.6875,0.078125,0.078125,False,large
harsh,vessel_collisions_per_ep,Rule_vs_Rule,DQN_vs_Rule,8,0.42500000000000004,0.4583333333333333,-0.03333333333333332,0.7421875,0.7270170697288952,-0.1284890421875116,-0.0625,1.0,0.7421875,False,negligible
harsh,vessel_collisions_per_ep,Rule_vs_Rule,DQN_vs_DQN,8,0.42500000000000004,0.375,0.05000000000000004,0.640625,0.5596500356808058,0.21650635094610982,0.40625,1.0,0.7421875,False,small
harsh,near_misses_per_ep,Rule_vs_Rule,DQN_vs_Rule,8,0.21666666666666665,0.4083333333333333,-0.1916666666666667,0.09096894797535775,0.11436770081211488,-0.6374850443252509,-0.53125,0.1819378959507155,0.1819378959507155,False,medium
harsh,near_misses_per_ep,Rule_vs_Rule,DQN_vs_DQN,8,0.21666666666666665,0.36666666666666664,-0.15000000000000002,0.25,0.1650719272524425,-0.5480125880033866,-0.3125,0.25,0.25,False,medium
harsh,min_cpa,Rule_vs_Rule,DQN_vs_Rule,8,93.74966916666666,163.05838749999998,-69.30871833333333,0.0546875,0.04765924026668787,-0.8475512718953206,-0.53125,0.0546875,0.0546875,False,large
harsh,min_cpa,Rule_vs_Rule,DQN_vs_DQN,8,93.74966916666666,184.07335999999998,-90.32369083333333,0.0078125,0.00013522646578467814,-2.6580634909812084,-0.90625,0.015625,0.015625,True,large
harsh,head_on_events,Rule_vs_Rule,DQN_vs_Rule,8,0.42500000000000004,0.575,-0.15,0.4460595493707439,0.39802351897728994,-0.3181980515339463,-0.109375,0.8921190987414878,0.49896229860376107,False,small
harsh,head_on_events,Rule_vs_Rule,DQN_vs_DQN,8,0.42500000000000004,0.3375,0.08750000000000004,0.49896229860376107,0.286463337388378,0.4079180725901543,0.15625,0.8921190987414878,0.49896229860376107,False,small
harsh,success_rate,Rule_vs_Rule,DQN_vs_Rule,8,45.20833333333333,28.75,16.458333333333332,0.06297905121445523,0.06250259275740327,0.7824796215313827,0.515625,0.06297905121445523,0.06297905121445523,False,medium
harsh,success_rate,Rule_vs_Rule,DQN_vs_DQN,8,45.20833333333333,9.583333333333332,35.625,0.015625,0.002499376618889616,1.6245243680482826,0.765625,0.03125,0.03125,True,large
harsh,cte_mean,Rule_vs_Rule,DQN_vs_Rule,8,65.937136875,101.000896875,-35.06376,0.0078125,0.012050294876726968,-1.1886686919978624,-0.90625,0.015625,0.015625,True,large
harsh,cte_mean,Rule_vs_Rule,DQN_vs_DQN,8,65.937136875,49.68438729166667,16.252749583333337,0.25,0.2456920095053725,0.4479383967357124,0.4375,0.25,0.25,False,small
