agent,condition,metric,shapiro_W,p_value,normal
DQN,clean,success_rate,0.9400266933825905,0.3827059896100148,True
DQN,clean,mean_reward,0.9641720861388839,0.7643943005046774,True
DQN,clean,collision_rate,0.39419405596086887,5.515727961540391e-07,False
DQN,clean,collisions_per_ep,0.39419405596086887,5.515727961540391e-07,False
DQN,clean,iala_violations,,,
DQN,clean,cte_mean,0.7561889018303686,0.0010624760300379343,False
DQN,clean,docking_accuracy,,,
DQN,clean,optimality_ratio,0.37288643713141023,2.3538465969799615e-06,False
DQN,harsh,success_rate,0.981906521556219,0.9808519888592135,True
DQN,harsh,mean_reward,0.9873979960720585,0.9973402585552749,True
DQN,harsh,collision_rate,0.9446529870376223,0.4444830704471848,True
DQN,harsh,collisions_per_ep,0.8765684814749358,0.042181960406778005,False
DQN,harsh,iala_violations,0.9575708810723288,0.6502716381195611,True
DQN,harsh,cte_mean,0.744916196746688,0.0007845763575902603,False
DQN,harsh,docking_accuracy,0.965851195907721,0.7925902528726217,True
DQN,harsh,optimality_ratio,0.7016956011832574,0.0002591215145998689,False
DQN,mid,success_rate,0.9008219113967617,0.09796519694958475,True
DQN,mid,mean_reward,0.9520835742557806,0.5578462813935302,True
DQN,mid,collision_rate,0.9436710362326236,0.43077796355292886,True
DQN,mid,collisions_per_ep,0.7744184662013409,0.0017586417779417328,False
DQN,mid,iala_violations,0.9646334347100873,0.7722092142606093,True
DQN,mid,cte_mean,0.8030781682232568,0.004027404169975312,False
DQN,mid,docking_accuracy,0.9612772158432715,0.801898775388203,True
DQN,mid,optimality_ratio,0.6915615953969207,0.000699681076142655,False
DoubleDQN,clean,success_rate,0.8243940380912431,0.007692601712566001,False
DoubleDQN,clean,mean_reward,0.8998787793976806,0.09476817509677733,True
DoubleDQN,clean,collision_rate,0.7093217239388091,0.0003131901954210778,False
DoubleDQN,clean,collisions_per_ep,0.7093217239388091,0.0003131901954210778,False
DoubleDQN,clean,iala_violations,,,
DoubleDQN,clean,cte_mean,0.7554957136206536,0.0010426601646046601,False
DoubleDQN,clean,docking_accuracy,,,
DoubleDQN,clean,optimality_ratio,0.4093699962521423,2.2362106743379753e-06,False
DoubleDQN,harsh,success_rate,0.9571682801873217,0.6433306391948156,True
DoubleDQN,harsh,mean_reward,0.9831654679713457,0.9865961808236907,True
DoubleDQN,harsh,collision_rate,0.9604104627720346,0.6995316390963504,True
DoubleDQN,harsh,collisions_per_ep,0.9072117543146385,0.12271532728074602,True
DoubleDQN,harsh,iala_violations,0.9607123984053256,0.7047789538839776,True
DoubleDQN,harsh,cte_mean,0.8159299387609034,0.005929989006199047,False
DoubleDQN,harsh,docking_accuracy,0.7492955548046142,0.0012584110084035585,False
DoubleDQN,harsh,optimality_ratio,0.9514046827029433,0.5827202308792162,True
DoubleDQN,mid,success_rate,0.930597689617649,0.2785426535691118,True
DoubleDQN,mid,mean_reward,0.879584554870557,0.046773111325107544,False
DoubleDQN,mid,collision_rate,0.9209894753040113,0.1994421686956106,True
DoubleDQN,mid,collisions_per_ep,0.8511341661625081,0.018020671032364953,False
DoubleDQN,mid,iala_violations,0.9045708161960202,0.11179742663188202,True
DoubleDQN,mid,cte_mean,0.8288650319192822,0.00884184470690321,False
DoubleDQN,mid,docking_accuracy,0.9450502972711902,0.48680520889012413,True
DoubleDQN,mid,optimality_ratio,0.8853351961994764,0.0692687587151176,True
DuelingDQN,clean,success_rate,0.9371258604719723,0.34760221627156984,True
DuelingDQN,clean,mean_reward,0.97983548482247,0.9683683139626086,True
DuelingDQN,clean,collision_rate,0.7592137502479497,0.0011537745571588568,False
DuelingDQN,clean,collisions_per_ep,0.7066830861553787,0.0002932316336855314,False
DuelingDQN,clean,iala_violations,,,
DuelingDQN,clean,cte_mean,0.5806342470616663,1.7003254767238725e-05,False
DuelingDQN,clean,docking_accuracy,,,
