condition,metric,baseline,vs,n,mean_x,mean_y,mean_diff,wilcoxon_p,t_p,cohens_dz,cliffs_delta,wilcoxon_p_holm,wilcoxon_p_bh,sig_holm,effect_mag
clean,success_rate,RuleBased,DQN,15,47.333333333333336,19.999999999999996,27.333333333333332,6.103515625e-05,0.0002240623944344755,1.2713560295393866,0.7244444444444444,0.000244140625,0.000244140625,True,large
clean,success_rate,RuleBased,DoubleDQN,15,47.333333333333336,19.333333333333336,27.999999999999996,0.00042724609375,0.00036625772486703975,1.2038670087048182,0.6977777777777778,0.00128173828125,0.0008544921875,True,large
clean,success_rate,RuleBased,DuelingDQN,15,47.333333333333336,32.222222222222214,15.111111111111109,0.19801240045685709,0.09762607659282291,0.4583145650107462,0.41333333333333333,0.19801240045685709,0.19801240045685709,False,small
clean,success_rate,RuleBased,DuelingDoubleDQN,15,47.333333333333336,17.777777777777775,29.555555555555557,0.0018714329102470324,0.0004898597658853271,1.164441592573125,0.7511111111111111,0.003742865820494065,0.0024952438803293765,True,large
clean,mean_reward,RuleBased,DQN,15,-15.673057555555555,-87.88871955555554,72.21566200000001,6.103515625e-05,0.00010031953478220666,1.3843714084983154,0.7333333333333333,0.000244140625,0.000244140625,True,large
clean,mean_reward,RuleBased,DoubleDQN,15,-15.673057555555555,-89.05320533333332,73.38014777777776,0.00018310546875,0.00010907672840853328,1.3724333217191076,0.7155555555555555,0.0003662109375,0.000244140625,True,large
clean,mean_reward,RuleBased,DuelingDQN,15,-15.673057555555555,-59.60054244444445,43.9274848888889,0.0946044921875,0.04806798548155582,0.5592404920346049,0.4222222222222222,0.0946044921875,0.0946044921875,False,medium
clean,mean_reward,RuleBased,DuelingDoubleDQN,15,-15.673057555555555,-92.42682022222222,76.75376266666667,0.0001220703125,0.0002580170075326237,1.251860505241376,0.7777777777777778,0.0003662109375,0.000244140625,True,large
clean,collision_rate,RuleBased,DQN,15,0.0,5.555555555555555,-5.555555555555555,0.06788915486182899,0.20707849036863926,-0.34156502553198664,-0.26666666666666666,0.13577830972365798,0.06788915486182899,False,small
clean,collision_rate,RuleBased,DoubleDQN,15,0.0,6.0,-6.0,0.027281171477617997,0.01878150498625221,-0.6859587590279296,-0.4,0.081843514432854,0.054562342955235994,False,medium
clean,collision_rate,RuleBased,DuelingDQN,15,0.0,10.22222222222222,-10.22222222222222,0.01775592261403605,0.016262180653120822,-0.7049564502236725,-0.4666666666666667,0.0710236904561442,0.054562342955235994,False,medium
clean,collision_rate,RuleBased,DuelingDoubleDQN,15,0.0,4.666666666666666,-4.666666666666666,0.06788915486182899,0.08007921593366987,-0.48720657037290943,-0.26666666666666666,0.13577830972365798,0.06788915486182899,False,small
clean,collisions_per_ep,RuleBased,DQN,15,0.0,0.05555555555555555,-0.05555555555555555,0.06788915486182899,0.20707849036863926,-0.3415650255319866,-0.26666666666666666,0.13577830972365798,0.06788915486182899,False,small
clean,collisions_per_ep,RuleBased,DoubleDQN,15,0.0,0.059999999999999984,-0.059999999999999984,0.027281171477617997,0.01878150498625221,-0.6859587590279295,-0.4,0.081843514432854,0.054562342955235994,False,medium
clean,collisions_per_ep,RuleBased,DuelingDQN,15,0.0,0.13333333333333333,-0.13333333333333333,0.01775592261403605,0.02783547011997346,-0.6335879510819886,-0.4666666666666667,0.0710236904561442,0.054562342955235994,False,medium
clean,collisions_per_ep,RuleBased,DuelingDoubleDQN,15,0.0,0.046666666666666655,-0.046666666666666655,0.06788915486182899,0.08007921593366987,-0.4872065703729095,-0.26666666666666666,0.13577830972365798,0.06788915486182899,False,small
clean,iala_violations,RuleBased,DQN,15,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,False,negligible
clean,iala_violations,RuleBased,DoubleDQN,15,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,False,negligible
clean,iala_violations,RuleBased,DuelingDQN,15,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,False,negligible
clean,iala_violations,RuleBased,DuelingDoubleDQN,15,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,False,negligible
clean,cte_mean,RuleBased,DQN,15,11.000350222222222,28.811421555555555,-17.811071333333334,0.083251953125,0.06393119676107828,-0.5193695242652756,-0.26222222222222225,0.249755859375,0.12613932291666666,False,medium
clean,cte_mean,RuleBased,DoubleDQN,15,11.000350222222222,29.020378,-18.020027777777777,0.0946044921875,0.07615055845686067,-0.4944491363740873,-0.39555555555555555,0.249755859375,0.12613932291666666,False,small
clean,cte_mean,RuleBased,DuelingDQN,15,11.000350222222222,25.575630222222223,-14.575280000000001,0.5994873046875,0.23263862292483406,-0.32213241242729396,-0.057777777777777775,0.5994873046875,0.5994873046875,False,small
clean,cte_mean,RuleBased,DuelingDoubleDQN,15,11.000350222222222,27.64349311111111,-16.643142888888885,0.02154541015625,0.023138261597190464,-0.6582870310085424,-0.41333333333333333,0.086181640625,0.086181640625,False,medium
clean,docking_accuracy,RuleBased,DQN,12,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,False,negligible
clean,docking_accuracy,RuleBased,DoubleDQN,13,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,False,negligible
clean,docking_accuracy,RuleBased,DuelingDQN,14,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,False,negligible
clean,docking_accuracy,RuleBased,DuelingDoubleDQN,13,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,False,negligible
clean,optimality_ratio,RuleBased,DQN,12,1.0,1.0345920634920633,-0.03459206349206353,0.17971249487899976,0.2909754481057649,-0.3202191288684598,-0.16666666666666666,0.5391374846369993,0.17971249487899976,False,small
clean,optimality_ratio,RuleBased,DoubleDQN,13,1.0,1.3406959615384615,-0.34069596153846154,0.06788915486182899,0.23569239537483366,-0.34624410033798375,-0.3076923076923077,0.27155661944731596,0.17971249487899976,False,small
clean,optimality_ratio,RuleBased,DuelingDQN,14,1.0,1.0792821428571429,-0.07928214285714287,0.17971249487899976,0.24907808079461238,-0.32248250184075816,-0.14285714285714285,0.5391374846369993,0.17971249487899976,False,small
clean,optimality_ratio,RuleBased,DuelingDoubleDQN,13,1.0,1.132528205128205,-0.1325282051282051,0.17971249487899976,0.2948720712209978,-0.3037879586159921,-0.15384615384615385,0.5391374846369993,0.17971249487899976,False,small
mid,success_rate,RuleBased,DQN,15,47.333333333333336,19.111111111111107,28.22222222222222,0.0008544921875,0.0009619880056896507,1.0741957311891073,0.7644444444444445,0.00341796875,0.0023193359375,True,large
mid,success_rate,RuleBased,DoubleDQN,15,47.333333333333336,22.666666666666668,24.666666666666668,0.00115966796875,0.0015339272259085961,1.0126540202823509,0.6933333333333334,0.00347900390625,0.0023193359375,True,large
mid,success_rate,RuleBased,DuelingDQN,15,47.333333333333336,31.777777777777775,15.555555555555559,0.023755080323465034,0.03170790972210598,0.616059848720955,0.4533333333333333,0.04751016064693007,0.03167344043128671,True,medium
mid,success_rate,RuleBased,DuelingDoubleDQN,15,47.333333333333336,33.77777777777777,13.555555555555559,0.041259765625,0.02472485811667613,0.6494456197302457,0.37333333333333335,0.04751016064693007,0.041259765625,True,medium
mid,mean_reward,RuleBased,DQN,15,-28.895467777777778,-109.79939377777777,80.90392599999998,0.00030517578125,0.00031179664166581053,1.2258522172629087,0.8666666666666667,0.001220703125,0.0006103515625,True,large
mid,mean_reward,RuleBased,DoubleDQN,15,-28.895467777777778,-103.1141991111111,74.21873133333332,0.00030517578125,0.000470225742784818,1.1699665029425417,0.7955555555555556,0.001220703125,0.0006103515625,True,large
mid,mean_reward,RuleBased,DuelingDQN,15,-28.895467777777778,-85.40327822222223,56.50781044444444,0.0067138671875,0.006248177354499721,0.8297692124391219,0.6,0.008544921875,0.0067138671875,True,large
mid,mean_reward,RuleBased,DuelingDoubleDQN,15,-28.895467777777778,-75.92589600000001,47.03042822222223,0.0042724609375,0.0013578699662706935,1.0286778174667321,0.49333333333333335,0.008544921875,0.005696614583333333,True,large
mid,collision_rate,RuleBased,DQN,15,30.888888888888882,25.11111111111111,5.777777777777778,0.43205838114189277,0.24421718258566588,0.31388175677324964,0.2577777777777778,1.0,0.7774044086922148,False,small
mid,collision_rate,RuleBased,DoubleDQN,15,30.888888888888882,29.555555555555554,1.3333333333333361,0.7774044086922148,0.7535038924550409,0.08268982305947248,0.09333333333333334,1.0,0.7774044086922148,False,negligible
mid,collision_rate,RuleBased,DuelingDQN,15,30.888888888888882,28.222222222222225,2.6666666666666674,0.4511474692411971,0.5647439742108965,0.15227739752537625,0.13777777777777778,1.0,0.7774044086922148,False,negligible
mid,collision_rate,RuleBased,DuelingDoubleDQN,15,30.888888888888882,32.888888888888886,-2.000000000000001,0.6745180485007679,0.729963988864283,-0.09092698463840687,0.04888888888888889,1.0,0.7774044086922148,False,negligible
mid,collisions_per_ep,RuleBased,DQN,15,0.4222222222222223,0.6022222222222221,-0.18,0.38177020494692093,0.22553655644142453,-0.3273543291035943,-0.03111111111111111,0.38177020494692093,0.38177020494692093,False,small
mid,collisions_per_ep,RuleBased,DoubleDQN,15,0.4222222222222223,0.611111111111111,-0.18888888888888886,0.17282375203419775,0.15507398103820016,-0.38805677438475206,-0.16444444444444445,0.3456475040683955,0.23043166937893034,False,small
mid,collisions_per_ep,RuleBased,DuelingDQN,15,0.4222222222222223,0.7533333333333333,-0.33111111111111113,0.0946044921875,0.06820442941992086,-0.5101961901280246,-0.2311111111111111,0.2838134765625,0.189208984375,False,medium
mid,collisions_per_ep,RuleBased,DuelingDoubleDQN,15,0.4222222222222223,0.6222222222222223,-0.2,0.04132685891250041,0.058151784826333104,-0.532713603903433,-0.19555555555555557,0.16530743565000164,0.16530743565000164,False,medium
mid,iala_violations,RuleBased,DQN,15,7.415555555555556,17.604444444444447,-10.188888888888888,6.103515625e-05,3.871526535900612e-06,-1.8864890083011967,-0.9022222222222223,0.000244140625,0.0001220703125,True,large
mid,iala_violations,RuleBased,DoubleDQN,15,7.415555555555556,17.884444444444444,-10.468888888888888,0.0001220703125,2.620606171477154e-07,-2.373670695750816,-0.92,0.000244140625,0.0001220703125,True,large
mid,iala_violations,RuleBased,DuelingDQN,15,7.415555555555556,16.766666666666666,-9.351111111111113,0.0001220703125,1.0267211643367815e-06,-2.1171283382077544,-0.8666666666666667,0.000244140625,0.0001220703125,True,large
mid,iala_violations,RuleBased,DuelingDoubleDQN,15,7.415555555555556,15.924444444444443,-8.508888888888889,6.103515625e-05,6.928140638048754e-06,-1.7905785635375644,-0.84,0.000244140625,0.0001220703125,True,large
mid,cte_mean,RuleBased,DQN,15,16.319727555555552,39.23978333333334,-22.92005577777778,0.00115966796875,0.007189961146044272,-0.8115378364321953,-0.6888888888888889,0.004638671875,0.004638671875,True,large
mid,cte_mean,RuleBased,DoubleDQN,15,16.319727555555552,43.28903133333334,-26.969303777777778,0.01507568359375,0.013680057628223954,-0.7276666309674157,-0.5733333333333334,0.0301513671875,0.020100911458333332,True,medium
mid,cte_mean,RuleBased,DuelingDQN,15,16.319727555555552,39.91951288888889,-23.599785333333333,0.00335693359375,0.006063272924494465,-0.833668620427871,-0.6088888888888889,0.01007080078125,0.0067138671875,True,large
mid,cte_mean,RuleBased,DuelingDoubleDQN,15,16.319727555555552,39.425933777777786,-23.10620622222223,0.12054443359375,0.11602523187055569,-0.43260189877485905,-0.26222222222222225,0.12054443359375,0.12054443359375,False,small
mid,docking_accuracy,RuleBased,DQN,12,4.8062637922062095,4.7146657215007215,0.09159807070548853,0.6220703125,0.8383901745776497,0.060286888176475456,-0.09722222222222222,1.0,0.855224609375,False,negligible
mid,docking_accuracy,RuleBased,DoubleDQN,14,4.792205810355989,4.597498153594771,0.19470765676121723,0.855224609375,0.7546858766450919,0.08529540152745509,-0.04081632653061224,1.0,0.855224609375,False,negligible
mid,docking_accuracy,RuleBased,DuelingDQN,15,4.70276408966559,4.344901976430004,0.3578621132355864,0.27685546875,0.2909625685552708,0.28336020592117944,0.06666666666666667,1.0,0.855224609375,False,small
mid,docking_accuracy,RuleBased,DuelingDoubleDQN,13,4.922924206024397,4.935206169386169,-0.012281963361771283,0.83935546875,0.980030344668682,-0.007088387691319536,-0.14792899408284024,1.0,0.855224609375,False,negligible
mid,optimality_ratio,RuleBased,DQN,12,1.0,2.233492694805195,-1.233492694805195,0.00048828125,0.01795245108483225,-0.8020798733096547,-1.0,0.0009765625,0.0006510416666666666,True,large
mid,optimality_ratio,RuleBased,DoubleDQN,14,1.0,2.640272578698146,-1.640272578698146,0.0014737808438751421,0.0005804350612291688,-1.2068581021193598,-0.9285714285714286,0.0014737808438751421,0.0014737808438751421,True,large
mid,optimality_ratio,RuleBased,DuelingDQN,15,1.0,2.0654833804408153,-1.065483380440815,6.103515625e-05,7.635312449214967e-05,-1.423601944116588,-1.0,0.000244140625,0.000244140625,True,large
mid,optimality_ratio,RuleBased,DuelingDoubleDQN,13,1.0,1.6667097474747474,-0.6667097474747476,0.000244140625,6.367864583919004e-05,-1.6597622805276127,-1.0,0.000732421875,0.00048828125,True,large
harsh,success_rate,RuleBased,DQN,15,47.333333333333336,31.999999999999996,15.333333333333334,0.072998046875,0.05307646233585908,0.5454807206059921,0.4311111111111111,0.14599609375,0.08413097782968185,False,medium
harsh,success_rate,RuleBased,DoubleDQN,15,47.333333333333336,23.777777777777775,23.55555555555555,0.00537109375,0.003576378644145716,0.902191841578419,0.6533333333333333,0.021484375,0.021484375,True,large
harsh,success_rate,RuleBased,DuelingDQN,15,47.333333333333336,32.666666666666664,14.666666666666666,0.08413097782968185,0.06122580009104523,0.5254718064719581,0.36444444444444446,0.14599609375,0.08413097782968185,False,medium
harsh,success_rate,RuleBased,DuelingDoubleDQN,15,47.333333333333336,29.55555555555555,17.77777777777778,0.02154541015625,0.03924890159552029,0.5870959628134373,0.4533333333333333,0.06463623046875,0.0430908203125,False,medium
harsh,mean_reward,RuleBased,DQN,15,-34.93427,-103.55779177777778,68.62352177777778,0.0006103515625,0.0012723093993919207,1.0372475572044553,0.76,0.00244140625,0.0011393229166666667,True,large
