condition,metric,levene_W,p_value,homoscedastic
clean,success_rate,0.41309012875536444,0.7986430276779178,True
clean,mean_reward,0.24703359267182567,0.9105339370984997,True
clean,collision_rate,1.5533157808129006,0.1964273669599334,True
clean,collisions_per_ep,1.9638066465256803,0.109543237089651,True
clean,iala_violations,,,
clean,cte_mean,0.8262787555719614,0.5128881887873112,True
clean,docking_accuracy,,,
clean,optimality_ratio,1.0042977709211731,0.41221733159348783,True
mid,success_rate,0.6922680412371133,0.5997811216976415,True
mid,mean_reward,0.3504894719904414,0.8428450000339593,True
mid,collision_rate,0.6858156028368793,0.6041634716556732,True
mid,collisions_per_ep,0.954537151803771,0.43800442652967264,True
mid,iala_violations,0.5742024520853675,0.6822434720612104,True
mid,cte_mean,1.231508711124148,0.3054512721771588,True
mid,docking_accuracy,0.44730019438227153,0.7739557660252403,True
mid,optimality_ratio,4.574744430242609,0.0025967619159415053,False
harsh,success_rate,1.1291638907395063,0.3498803826358021,True
harsh,mean_reward,1.0246609007834389,0.40070386291337323,True
harsh,collision_rate,0.37478108581436004,0.8258794055003974,True
harsh,collisions_per_ep,1.1062702963263655,0.36053346004918424,True
harsh,iala_violations,0.6388098969928478,0.6365606963957,True
harsh,cte_mean,0.9641155426726414,0.4327566574296132,True
harsh,docking_accuracy,0.26897303827676267,0.8969547332417942,True
harsh,optimality_ratio,4.0364798995559354,0.005378028991117611,False
