config_id,pairing,condition,noise_std,packet_error_rate,seed,env_seed,phase,episode,direction,agent,reward,success,steps,collisions,cte_mean,iala_violations,dropped_frames,docking_accuracy,lane,vessel_collisions,vessel_collision_flag,collision_contact_steps,near_misses,min_cpa,encounter_steps,give_way_events,head_on_events
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,29,inbound,RuleBased,-123.089,0,59,0,0,0,0,,L02,0,0,0,0,200.1605,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,30,inbound,RuleBased,-121.257,0,59,0,0,0,0,,L02,0,0,0,0,239.7016,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,1,outbound,RuleBased,-175.5727,0,59,0,315.0692,0,0,,L02,0,0,0,0,246.7851,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,2,outbound,RuleBased,-175.5727,0,59,0,315.0692,0,0,,L02,0,0,0,0,246.7851,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,3,outbound,RuleBased,-174.1292,0,59,0,306.1136,0,0,,L02,0,0,0,0,226.7401,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,4,outbound,RuleBased,72.818,1,11,0,0,0,0,0,L08,1,1,1,1,0,3,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,5,outbound,RuleBased,72.818,1,11,0,0,0,0,0,L08,1,1,1,1,0,3,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,6,outbound,RuleBased,71.969,1,12,0,0,0,0,0,L08,1,1,1,1,0,3,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,7,outbound,RuleBased,71.197,1,13,0,0,0,0,0,L08,1,1,1,1,0,3,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,8,outbound,RuleBased,-193.515,0,59,0,311.5426,0,0,,L02,0,0,0,0,226.7401,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,9,outbound,RuleBased,-195.204,0,59,0,321.8508,0,0,,L02,0,0,0,0,246.7851,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,10,outbound,RuleBased,49.969,1,12,0,0,0,0,0,L08,1,1,2,0,0,2,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,11,outbound,RuleBased,71.969,1,12,0,0,0,0,0,L08,1,1,1,1,0,3,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,12,outbound,RuleBased,-175.5727,0,59,0,315.0692,0,0,,L02,0,0,0,0,246.7851,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,13,outbound,RuleBased,50.818,1,11,0,0,0,0,0,L08,1,1,2,0,0,2,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,14,outbound,RuleBased,-174.1292,0,59,0,306.1136,0,0,,L02,0,0,0,0,239.7016,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,15,outbound,RuleBased,-195.204,0,59,0,321.8508,0,0,,L02,0,0,0,0,246.7851,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,16,outbound,RuleBased,50.818,1,11,0,0,0,0,0,L08,1,1,2,0,0,2,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,17,outbound,RuleBased,49.197,1,13,0,0,0,0,0,L08,1,1,2,0,0,2,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,18,outbound,RuleBased,72.818,1,11,0,0,0,0,0,L08,1,1,1,1,0,3,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,19,outbound,RuleBased,49.969,1,12,0,0,0,0,0,L08,1,1,2,0,0,2,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,20,outbound,RuleBased,-174.1292,0,59,0,306.1136,0,0,,L02,0,0,0,0,226.7401,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,21,outbound,RuleBased,-175.5727,0,59,0,315.0692,0,0,,L02,0,0,0,0,226.7401,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,22,outbound,RuleBased,-193.515,0,59,0,311.5426,0,0,,L02,0,0,0,0,239.7016,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,23,outbound,RuleBased,50.818,1,11,0,0,0,0,0,L08,1,1,2,0,0,2,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,24,outbound,RuleBased,-193.515,0,59,0,311.5426,0,0,,L02,0,0,0,0,200.1605,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,25,outbound,RuleBased,72.818,1,11,0,0,0,0,0,L08,1,1,1,1,0,3,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,26,outbound,RuleBased,49.969,1,12,0,0,0,0,0,L08,1,1,2,0,0,2,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,27,outbound,RuleBased,50.818,1,11,0,0,0,0,0,L08,1,1,2,0,0,2,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,28,outbound,RuleBased,-193.515,0,59,0,311.5426,0,0,,L02,0,0,0,0,246.7851,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,29,outbound,RuleBased,-174.1292,0,59,0,306.1136,0,0,,L02,0,0,0,0,200.1605,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,0,42,eval,30,outbound,RuleBased,-193.515,0,59,0,311.5426,0,0,,L02,0,0,0,0,239.7016,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,1,inbound,RuleBased,-129.143,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,2,inbound,RuleBased,-128.076,0,59,0,0,0,0,,L08,0,0,0,0,102.9563,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,3,inbound,RuleBased,-121.159,0,59,0,0,0,0,,L02,0,0,0,0,132.484,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,4,inbound,RuleBased,-127.056,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,5,inbound,RuleBased,-127.056,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,6,inbound,RuleBased,-124.946,0,59,0,0,0,0,,L02,0,0,0,0,132.484,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,7,inbound,RuleBased,-123.026,0,59,0,0,0,0,,L02,0,0,0,0,132.484,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,8,inbound,RuleBased,-123.026,0,59,0,0,0,0,,L02,0,0,0,0,132.484,0,0,0
