config_id,agent,condition,noise_std,packet_error_rate,seed,env_seed,phase,episode,reward,full_success,dock_success,final_phase,steps,invalid,phase1_steps,dock_accuracy,collisions,collision_flag,cte_mean,iala_violations,dropped_frames,lane,start
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,7,-198.095,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,8,-198.095,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,9,-198.095,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,10,-198.095,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,11,-198.095,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,12,-217.368,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,13,-198.095,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,14,-198.095,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,15,-217.368,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,16,-198.095,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,17,-198.095,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,18,-217.368,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,19,-217.368,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,20,-217.368,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,21,-217.368,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,22,-198.095,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,23,-198.095,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,24,-198.095,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,25,-217.368,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,26,-217.368,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,27,-217.368,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,28,-198.095,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,29,-217.368,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,1,43,eval,30,-217.368,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,1,-213.908,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,2,-54.4581,0,1,2,110,0,27,0,0,0,188.2573,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,3,-173.908,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,4,281.269,1,1,2,54,0,27,0,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,5,25.5419,0,1,2,110,0,27,0,0,0,188.2573,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,6,-93.908,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,7,361.269,1,1,2,54,0,27,0,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,8,401.269,1,1,2,54,0,27,0,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,9,441.269,1,1,2,54,0,27,0,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,10,26.092,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,11,481.269,1,1,2,54,0,27,0,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,12,66.092,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,13,521.269,1,1,2,54,0,27,0,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,14,265.5419,0,1,2,110,0,27,0,0,0,188.2573,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,15,146.092,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,16,601.269,1,1,2,54,0,27,0,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,17,641.269,1,1,2,54,0,27,0,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,18,681.269,1,1,2,54,0,27,0,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,19,721.269,1,1,2,54,0,27,0,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,20,761.269,1,1,2,54,0,27,0,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,21,346.092,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,22,346.092,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,23,346.092,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,24,346.092,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,25,346.092,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,26,801.269,1,1,2,54,0,27,0,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,27,386.092,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,28,545.5419,0,1,2,110,0,27,0,0,0,188.2573,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,29,426.092,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,2,44,eval,30,426.092,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,1,-223.315,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,2,-223.315,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,3,-223.315,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,4,-223.315,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,5,-64.2242,0,1,2,110,0,27,0,0,0,143.5766,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,6,-183.315,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,7,-183.315,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,8,-183.315,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,9,280.583,1,1,2,54,0,27,0,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,10,-143.315,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,11,15.7758,0,1,2,110,0,27,0,0,0,143.5766,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,12,-103.315,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,13,360.583,1,1,2,54,0,27,0,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,14,-63.315,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,15,95.7758,0,1,2,110,0,27,0,0,0,143.5766,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,16,135.7758,0,1,2,110,0,27,0,0,0,143.5766,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,17,16.685,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,18,16.685,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,19,16.685,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,20,16.685,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,21,16.685,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,22,16.685,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,23,480.583,1,1,2,54,0,27,0,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,24,215.7758,0,1,2,110,0,27,0,0,0,143.5766,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,25,96.685,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,26,560.583,1,1,2,54,0,27,0,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,27,600.583,1,1,2,54,0,27,0,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,28,335.7758,0,1,2,110,0,27,0,0,0,143.5766,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,29,216.685,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,3,45,eval,30,680.583,1,1,2,54,0,27,0,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,1,-217.181,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,2,-217.181,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,3,-217.181,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,4,-198.595,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,5,-217.181,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,6,-217.181,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,7,-217.181,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,8,-198.595,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,9,-198.595,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,10,-198.595,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,11,-198.595,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,12,-217.181,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,13,-217.181,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,14,-217.181,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,15,-217.181,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,16,-217.181,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,17,-217.181,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,18,-198.595,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,19,-198.595,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,20,-217.181,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,21,-198.595,0,0,1,110,0,,,0,0,0,0,0,L02,L02_WP001
twophase_RuleBased_clean,RuleBased,clean,0,0,4,46,eval,22,-217.181,0,0,1,110,0,,,0,0,0,0,0,L08,L08_WP001
