metric,effect,F,p_value,partial_eta2
success_rate,algorithm,2.513764189548811,0.06006913969564711,0.0413128035992758
success_rate,noise,10.367804884433157,5.555433920026201e-05,0.10593682873214479
success_rate,per,7.4769978797476915,0.0007657576155732129,0.07872430216434584
success_rate,seed,13.405360835536513,4.5607443277819306e-11,0.2769395910730418
success_rate,algorithm:noise,1.1822260904466508,0.3178729889058319,0.03895450486145182
success_rate,algorithm:per,0.4280313936950886,0.859578775111641,0.01446311068361197
success_rate,noise:per,0.5130487134518221,0.7262190967887745,0.011590903210783658
success_rate,algorithm:noise:per,0.5787067333280976,0.8574206291069174,0.038168131121125874
mean_reward,algorithm,2.0556725378068372,0.10787324208761839,0.034040509661531625
mean_reward,noise,1.8467415030418635,0.160811383232231,0.020669377214825344
mean_reward,per,16.88364272738936,1.9740829127970152e-07,0.16174605796698488
mean_reward,seed,21.558250060571158,8.805195638509642e-17,0.3811689724749849
mean_reward,algorithm:noise,1.309109337239634,0.25539262523284856,0.042955734320656386
mean_reward,algorithm:per,0.19181879653447395,0.9788049810866536,0.00653367479650494
mean_reward,noise:per,0.19189231518828345,0.9423909442951277,0.004366956111308772
mean_reward,algorithm:noise:per,0.5301830849618357,0.8930968604437537,0.035080061468689056
collision_rate,algorithm,3.2620020800339034,0.022813689598265192,0.05295858944744042
collision_rate,noise,65.36572875472999,6.288805629112832e-22,0.4276022447098525
collision_rate,per,5.276537028080453,0.00595478124059509,0.0568736147856372
collision_rate,seed,30.95681242709609,1.7174554151625998e-22,0.46934973489377646
collision_rate,algorithm:noise,0.5239915154848779,0.7896102094076464,0.017648363073334422
collision_rate,algorithm:per,0.8482776497513776,0.5343524339939658,0.02826184319413758
collision_rate,noise:per,2.2469344789325443,0.06591295817258551,0.04884965714316641
collision_rate,algorithm:noise:per,1.3131320315735193,0.21456040111748478,0.08260528371749855
collisions_per_ep,algorithm,0.6246701774945541,0.599959808451404,0.010595171822258716
collisions_per_ep,noise,49.72073359804065,7.970355098991225e-18,0.362341260641319
collisions_per_ep,per,9.831517565664326,8.985119183626868e-05,0.10101062648110394
collisions_per_ep,seed,17.388988568579443,5.85253755917911e-14,0.33192067729684277
collisions_per_ep,algorithm:noise,0.5624770261565185,0.7597643719654111,0.01892005474386752
collisions_per_ep,algorithm:per,1.1658747893685268,0.3267226734120136,0.03843643603218601
collisions_per_ep,noise:per,0.4253049834588276,0.7902374339483846,0.009627663773189125
collisions_per_ep,algorithm:noise:per,1.8892164873038828,0.0384634641348268,0.11468877058347249
iala_violations,algorithm,0.7170577267584624,0.5430332819569567,0.012143149501393797
iala_violations,noise,516.3162896200237,3.949411981346858e-74,0.8550883745533546
iala_violations,per,339.6178071428463,5.659561728191041e-61,0.7951384874694857
iala_violations,seed,17.06530286591092,9.884053376339216e-14,0.32776728313404674
iala_violations,algorithm:noise,0.7612656128501046,0.601318815875157,0.02543662574948851
iala_violations,algorithm:per,0.3941727049527879,0.8820881496688328,0.013334286621482819
iala_violations,noise:per,18.03528623029556,2.0279727637494586e-12,0.2919026087064109
iala_violations,algorithm:noise:per,0.5203249894879007,0.8997262292310879,0.0344502622057931
cte_mean,algorithm,1.411524855501656,0.2410570863620051,0.023625880088965365
cte_mean,noise,0.7145263871537322,0.4908460441502651,0.008099872168647559
cte_mean,per,2.7043440225057096,0.06971119630183434,0.02998019720459343
cte_mean,seed,11.520851995499568,1.2540407967399553e-09,0.2476492046322388
cte_mean,algorithm:noise,1.0014033233632436,0.4260361846471822,0.033194146118535
cte_mean,algorithm:per,0.22605393234097013,0.967866436298886,0.0076908134985164385
cte_mean,noise:per,0.7404742401715095,0.565582457986602,0.016643433292579238
cte_mean,algorithm:noise:per,0.6407230853857816,0.805301203492366,0.04208622641452935
docking_accuracy,algorithm,0.7884062966051081,0.5020138947456423,0.014478105596091353
docking_accuracy,noise,163.62667134011295,1.635092735298093e-39,0.6702531535857923
docking_accuracy,per,123.93140357272115,2.6150845351579523e-33,0.6062248823167512
docking_accuracy,seed,0.6726290806017498,0.6447687138454015,0.02046167585052303
docking_accuracy,algorithm:noise,1.726151249603465,0.1180358212650435,0.060440560283597504
docking_accuracy,algorithm:per,1.168394198086549,0.32581179903432234,0.041725789838342284
docking_accuracy,noise:per,0.8677835299091615,0.4846811733109829,0.021104822668224176
docking_accuracy,algorithm:noise:per,0.9221288319520905,0.5263469923137174,0.06431006230899369
dropped_frames,algorithm,2.8472965990593155,0.03906476169564842,0.04653918408825974
dropped_frames,noise,1.1970100334513174,0.30455720928908075,0.013495494752301971
dropped_frames,per,2486.7378660298004,3.118499195616134e-129,0.9660093571170447
dropped_frames,seed,11.711486610520998,8.924395267935608e-10,0.250719629374484
dropped_frames,algorithm:noise,1.391772694615493,0.22035156802212746,0.04554462609039133
dropped_frames,algorithm:per,1.1758868092027286,0.3212819789703132,0.03875371959508547
dropped_frames,noise:per,0.5486118007924248,0.7002715317751647,0.0123844016435434
dropped_frames,algorithm:noise:per,0.5699371965483522,0.8642271077724892,0.0376114974931951
optimality_ratio,algorithm,3.051160345312404,0.030233659722205576,0.05379543797875022
optimality_ratio,noise,19.327863198472375,2.9977848885294124e-08,0.19361190933282585
optimality_ratio,per,21.445169579810358,5.534174296162957e-09,0.21035984017880774
optimality_ratio,seed,11.622210301525365,1.3441189235524372e-09,0.2652127818646523
optimality_ratio,algorithm:noise,1.7719804630218408,0.10795957258154334,0.06194584948925198
optimality_ratio,algorithm:per,0.6582197871659923,0.6834658313261548,0.023942619184915553
optimality_ratio,noise:per,0.9016158596735818,0.4645189655510278,0.02190961012923718
optimality_ratio,algorithm:noise:per,1.093747158887375,0.36875588694246625,0.0753767033825869
