algorithm,metric,clean_mean,worst_mean,abs_change,wilcoxon_p,cohens_dz,effect_mag,cliffs_delta,wilcoxon_p_holm,sig_holm
DQN,success_rate,17.22222222222222,36.666666666666664,19.44444444444444,0.0625,1.4507966765069369,large,0.6666666666666666,0.25,False
DQN,mean_reward,-95.54913166666665,-85.68022500000001,9.868906666666666,0.5625,0.2732448773824599,small,0.05555555555555555,0.875,False
DQN,collision_rate,2.777777777777778,43.888888888888886,41.11111111111111,0.03125,3.096261412396175,large,1.0,0.125,False
DQN,collisions_per_ep,0.027777777777777766,1.0611111111111111,1.0333333333333332,0.03125,2.3528098702858005,large,1.0,0.125,False
DQN,iala_violations,0.0,54.48888888888889,54.48888888888889,0.03125,4.2435281208639415,large,1.0,0.125,False
DQN,cte_mean,28.260721666666658,27.719996666666663,-0.5407249999999971,0.84375,-0.01835133100004114,negligible,0.2777777777777778,1.0,False
DQN,docking_accuracy,0.0,9.719188152356901,10.315965782828282,0.0625,5.939862183848478,large,1.0,0.125,False
DQN,dropped_frames,0.0,18.63888888888889,18.63888888888889,0.03125,8.558550937908166,large,1.0,0.125,False
DQN,optimality_ratio,1.0078742857142857,4.035792833092834,3.0172371139971137,0.0625,0.9619016351578586,large,1.0,0.125,False
DoubleDQN,success_rate,25.555555555555554,22.222222222222218,-3.3333333333333353,1.0,-0.11952286093343945,negligible,-0.1388888888888889,1.0,False
DoubleDQN,mean_reward,-79.72700722222221,-107.11311111111114,-27.386103888888897,0.4375,-0.39743435260896065,small,-0.2777777777777778,0.875,False
DoubleDQN,collision_rate,10.555555555555555,30.555555555555554,20.000000000000004,0.0625,1.5191090506255005,large,0.8055555555555556,0.125,False
DoubleDQN,collisions_per_ep,0.10555555555555553,0.5944444444444444,0.4888888888888889,0.0625,1.6494331047886026,large,0.8333333333333334,0.125,False
DoubleDQN,iala_violations,0.0,64.91666666666667,64.91666666666667,0.03125,4.780983385771023,large,1.0,0.125,False
DoubleDQN,cte_mean,43.248091666666674,43.64230388888888,0.3942122222222224,0.84375,0.008963108815228112,negligible,0.16666666666666666,1.0,False
DoubleDQN,docking_accuracy,0.0,11.053357272727274,11.053357272727274,0.0625,4.5281271894656365,large,1.0,0.125,False
DoubleDQN,dropped_frames,0.0,20.400000000000002,20.400000000000002,0.03125,7.167829363048327,large,1.0,0.125,False
DoubleDQN,optimality_ratio,1.5990311111111108,4.6423736363636365,2.9362576363636363,0.125,0.9620059326722228,large,0.76,0.125,False
DuelingDQN,success_rate,41.666666666666664,22.777777777777782,-18.888888888888886,0.21875,-0.7158291329065409,medium,-0.6111111111111112,0.65625,False
DuelingDQN,mean_reward,-37.351388888888884,-111.1797738888889,-73.82838500000001,0.03125,-1.2200520817604819,large,-0.7777777777777778,0.125,False
DuelingDQN,collision_rate,18.888888888888886,37.22222222222222,18.333333333333332,0.043114446783075355,1.0807190513513063,large,0.6388888888888888,0.125,False
DuelingDQN,collisions_per_ep,0.18888888888888888,0.8388888888888889,0.65,0.03125,1.5677956478053223,large,0.8888888888888888,0.125,False
DuelingDQN,iala_violations,0.0,63.24444444444445,63.24444444444445,0.03125,5.4869263667128445,large,1.0,0.125,False
DuelingDQN,cte_mean,14.969651666666666,45.52247888888889,30.55282722222222,0.09375,0.8027848976981089,large,0.6666666666666666,0.375,False
DuelingDQN,docking_accuracy,0.0,10.883811431623933,10.883811431623933,0.03125,2.828653747500609,large,1.0,0.125,False
DuelingDQN,dropped_frames,0.0,20.038888888888888,20.038888888888888,0.03125,9.387997243914619,large,1.0,0.125,False
DuelingDQN,optimality_ratio,1.1849916666666667,2.9718845085470087,1.786892841880342,0.03125,3.168607300480879,large,1.0,0.125,False
DuelingDoubleDQN,success_rate,23.333333333333332,27.222222222222218,3.8888888888888844,0.6875,0.323990753832544,small,0.05555555555555555,1.0,False
DuelingDoubleDQN,mean_reward,-77.86242722222222,-113.89171777777777,-36.02929055555556,0.03125,-1.426137465018738,large,-0.6111111111111112,0.125,False
DuelingDoubleDQN,collision_rate,6.666666666666665,46.666666666666664,40.0,0.03125,2.2360679774997902,large,0.9444444444444444,0.125,False
DuelingDoubleDQN,collisions_per_ep,0.06666666666666665,1.45,1.3833333333333335,0.03125,1.794704718642599,large,0.9444444444444444,0.125,False
DuelingDoubleDQN,iala_violations,0.0,58.42222222222222,58.42222222222222,0.03125,4.121493692383542,large,1.0,0.125,False
DuelingDoubleDQN,cte_mean,20.917247777777774,35.68614055555556,14.768892777777785,0.09375,0.8926140068861945,large,0.5555555555555556,0.375,False
DuelingDoubleDQN,docking_accuracy,0.0,10.383056838161837,10.383056838161837,0.03125,5.969994391816354,large,1.0,0.125,False
DuelingDoubleDQN,dropped_frames,0.0,19.216666666666665,19.216666666666665,0.03125,6.705528628319527,large,1.0,0.125,False
DuelingDoubleDQN,optimality_ratio,1.263061111111111,3.18834626040626,1.9252851492951493,0.03125,1.4067827722087476,large,0.8333333333333334,0.125,False
