Metric,Effect,F,p-value,partial η²,Interpretation
vessel_collision_rate,Pairing,27.80,0.0000,0.520,"sig (p=0.000), large effect"
vessel_collision_rate,Condition,4.70,0.0118,0.109,"sig (p=0.012), medium effect"
vessel_collision_rate,Pairing×Condition,2.20,0.0518,0.146,"n.s. (p=0.052), large effect"
vessel_collision_rate,Seed (block),8.00,0.0000,0.421,"sig (p=0.000), large effect"
vessel_collisions_per_ep,Pairing,25.85,0.0000,0.502,"sig (p=0.000), large effect"
vessel_collisions_per_ep,Condition,6.27,0.0030,0.140,"sig (p=0.003), medium effect"
vessel_collisions_per_ep,Pairing×Condition,2.30,0.0429,0.152,"sig (p=0.043), large effect"
vessel_collisions_per_ep,Seed (block),6.94,0.0000,0.387,"sig (p=0.000), large effect"
near_misses_per_ep,Pairing,5.72,0.0014,0.182,"sig (p=0.001), large effect"
near_misses_per_ep,Condition,0.62,0.5382,0.016,"n.s. (p=0.538), small effect"
near_misses_per_ep,Pairing×Condition,0.94,0.4690,0.069,"n.s. (p=0.469), medium effect"
near_misses_per_ep,Seed (block),3.00,0.0077,0.214,"sig (p=0.008), large effect"
min_cpa,Pairing,58.99,0.0000,0.697,"sig (p=0.000), large effect"
min_cpa,Condition,1.99,0.1432,0.049,"n.s. (p=0.143), small effect"
min_cpa,Pairing×Condition,1.23,0.3028,0.087,"n.s. (p=0.303), medium effect"
min_cpa,Seed (block),11.97,0.0000,0.521,"sig (p=0.000), large effect"
success_rate,Pairing,57.57,0.0000,0.692,"sig (p=0.000), large effect"
success_rate,Condition,2.65,0.0771,0.064,"n.s. (p=0.077), medium effect"
success_rate,Pairing×Condition,0.60,0.7313,0.044,"n.s. (p=0.731), small effect"
success_rate,Seed (block),8.68,0.0000,0.441,"sig (p=0.000), large effect"
docking_accuracy,Pairing,1.18,0.3239,0.044,"n.s. (p=0.324), small effect"
docking_accuracy,Condition,658.56,0.0000,0.945,"sig (p=0.000), large effect"
docking_accuracy,Pairing×Condition,0.70,0.6475,0.052,"n.s. (p=0.648), small effect"
docking_accuracy,Seed (block),2.41,0.0279,0.179,"sig (p=0.028), large effect"
